Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Oral lichen planus,"It is important to identify and remove any potential agent that might have caused a lichenoid reaction.[4]Chemicals or medications associated with development of lichen planus include gold,antibiotics,arsenic, iodides, chloroquine, quinacrine,quinidine, antimony, phenothiazines, diuretics such aschlorothiazide, and many others.[1]Consideration regarding role of drugs that were started in recent months prior to the on set of oral lichen planus, as well as any contact allergens identified by patch testing is recommended.[4]Symptoms may improve with the following measures:[4]Meticulous oral hygieneStopping smokingTopical steroids as drops, pastes, gels or sprays (e.g.,triamcinolonepaste)Steroid injections (intralesional triamcinolone)Mouth rinse containing the calcineurin inhibitors:cyclosporinortacrolimusIn severe cases systemiccorticosteroidsmay be used.[4]Other possible therapeutic agents may include:[4]ThalidomideSystemic retinoids (acitretinorisotretinoin)GriseofulvinAzathioprineCyclophosphamideDapsoneMetronidazoleLow molecular weight heparin"
Orbital varix,"Most people with orbital varices experience little too few symptoms and require no treatment.[4]Occasionally progressive eye pain, eye bulging, compression of theoptic nerve, vision loss and/or disfigurement develops and prompts treatment.[4][5][6]There are no well established guidelines for treatment. Treatment is individually tailored to the patient. People seeking treatment for obital varices benefit from a consultation with a team of doctors, such as an opthalmologist, neurosurgeon, and/or neurointerventional radiologist.[4][5]Treatment with electrothrombosis (the use of an electrical current to block blood flow to the varix),[5]stereotacticgamma knife radiosurgery[4],sclerotherapy, surgical resection, and embolization (blocking of blood flow through the varix) withcyanoacrylateglue followed by excision have been described in the medical literature.[5]"
Osteomyelitis,"The primary aim of treatment is to address the infection and reduce damage to the affected bone.Antibioticsor anti-fungal medications may be given to destroy thebacteriaor fungi that are causing the infection.[1][3]Depending on the severity of the condition, surgery may also be needed to remove dead bonetissue. Surgical procedures may involve drainage of the infected area, removal of diseased bone and tissue, restoration of blood flow, or removal of foreign material.[2][3][4]"
Ovarian cancer,"The best treatment options for ovariancancerdepend on many factors including thesubtypeandstageof the condition. In general, treatment may include a combination of the following:[3][4][5]Surgery to remove the ovaries, the fallopian tubes, the uterus, and/or other structures in the belly (pelvis).ChemotherapyRadiation therapyTargeted therapy(such asmonoclonal antibodytherapy)Unfortunately, research suggests that there are no benefits of ovarian cancerscreening(using aCA-125blood test andtransvaginal ultrasound), even in women who are at an elevated risk due to their personal and/or family histories.[8]Women who are at a high-risk for ovarian cancer may, therefore, want to discuss other preventative measures, such asprophylacticsurgery, with their healthcare provider. In women with a known hereditary cancersyndrome, management should also include screening for the other component cancers. Please click on the following links for more information regarding the treatment and management of each condition:Hereditary Breast and Ovarian CancerLynch syndromePeutz-Jeghers syndrome"
Ovarian remnant syndrome,"Treatment for ovarian remnantsyndrome(ORS) is generally indicated for women with suspected ORS who have symptoms (such aspelvicpain); have a pelvic mass; or need or desire complete removal oftissueto decrease the risk of ovariancancer(for example, BRCAmutationcarriers). The mainstay of treatment is surgery to remove the residual ovarian tissue. Women with ORS with a pelvic mass should have appropriate evaluation for malignancy (cancer). Hormonal therapy to suppress ovarian function is an alternative treatment for those who refuse surgery, or those who are not candidates for surgery.[1]"
Ovarian small cell carcinoma,"There are no standard recommendations guiding the treatment of ovarian smallcellcarcinoma. Some authors suggest that treatment should be similar to that of other small cell carcinomas. This might include surgery to remove thetumoror tumors if appropriate,chemotherapy, andradiation therapy. Many different chemotherapy drugs have been utilized with varying rates of success including but not limited to:carboplatin,paclitaxel,vinblastine,cyclophosphamide,bleomycin,doxorubicin, andetoposide.[5]"
Polyarteritis nodosa,"There is no cure for polyarteritis nodosa (PAN), but the disease and its symptoms can be managed. The goal of treatment is to prevent disease progression and furtherorgandamage.[6]The exact treatment depends on the severity in each person.[7]While many people do well with treatment, relapses can occur.[6]When the cause of PAN is unknown (idiopathic), treatment involvescorticosteroidsand immunosuppressive medications.[6]If there are no serious neurologic, renal, gastrointestinal, or heart symptoms, corticosteroids may initially be sufficient. For severe disease with these symptoms,cyclophosphamidemay also be used.Hypertensionshould be treated aggressively.[7]When PAN is related to hepatitis B, treatment often involves steroids, anti-viral medications and sometimes plasma exchange (also calledplasmapheresis).[6]"
VIPoma,"Treatment for VIPoma may includeintravenous(IV) fluids to correct dehydration, medications such asoctreotideto help control diarrhea, and surgery to remove thetumor.[1]If the tumor has spread (metastasized) to the liver or othertissues, treatment may involvechemotherapy,radiofrequency ablation, orhepatic artery embolization.[2][3][4][5]"
"Pancreatitis, pediatric","All families with children with pediatric pancreatitis should work with their child's health care team in developing a treatment plan. For cases of uncomplicated acute pediatric pancreatitis the aims of treatment are to relieve pain and stabilize the child’s metabolism. Pain medication is given and fluid, electrolyte, and mineral balance is restored and maintained.[1]"
PANDAS,"The treatment of PANDAS is symptomatic. Children who are diagnosed with agroup A streptococcal infectionare typically treated withantibioticswhether or not they develop symptoms of PANDAS.Obsessive-compulsive disordersare usually managed with medications (i.e. SSRI medications such asfluoxetine,fluvoxamine,sertaline, orparoxetine) andcognitive behavioral therapy. Tic disorders are often treated with a variety of medications, as well.[4][5]Some researchers suspect that therapies such as plasmapheresis and/or intravenous immunoglobulin (IVIG), which are often used to treatautoimmune disorders, may be a treatment option for children with PANDAS. Plasmapheresis is a procedure that removesantibodiesfrom the blood. IVIG can sometimes be used to alter the function or production of abnormal antibodies. Although some studies have demonstrated that both of these therapies are effective for the treatment of severe, strep triggered OCD and tics, a number of the children in these studies experienced severe side-effects. Thus, these treatments are often reserved for severely affected children who do not respond to other therapies.[4][5]"
Warthin tumor,"Treatment of Warthintumorgenerally includes surgery to remove the tumor or careful observation to watch for changes in the tumor over time. Because Warthin tumor is almost alwaysbenign, additional treatment (i.e.radiation therapyand/orchemotherapy) is rarely needed.[1][3]"
Parkes Weber syndrome,"No cure currently exists. Treatment depends on the symptoms and usually involves several specialists, such as interventional radiologist, neurosurgeons,vascular surgeons,cardiologistsanddermatologists. Heart problems should be treated by a cardiologist. The arteriovenous malformations (AVMs) and/or arteriovenous fistulas are treated with surgery or with embolization. Leg differences are treated by anorthopedist. Capillary malformations can be treated by a dermatologist when the patients are concerned with the cosmetic appearance.[3]Supportive care may include compression garments (tight-fitting pieces of clothing on the affected limb to reduce pain and swelling); these may also protect the limb from bumps and scrapes, which can cause bleeding and are also recommended in cases of lymphedema. Heel inserts may be used if the legs are different lengths, which can aid in walking normally. Various pain medications andantibioticmedications may be prescribed as needed.[1]"
Patterson-Stevenson-Fontaine syndrome,"Treatment of Patterson-Stevenson-Fontainesyndromefocuses on the specific symptoms present in each person. Surgeries may be available to treat some of the features of the syndrome, such ascleft palateorsyndactyly. However, surgery is not available for all features of the syndrome. For people who havehearing loss,hearing aidsmay be available.[3]"
Patulous Eustachian Tube,"While no standard treatment has been found to work for every patient, there are several options that have been used to successfully manage the symptoms in a number of individuals. Patients are often advised to recline or lower the head between the knees when symptoms occur. They may also be advised to avoid diuretics and/or increase weight. Nasal sprays, drops, or topical nasal administration of medications containing anticholinergics,estrogen, diluted hydrochloric acid, chlorobutanol, or benzyl alcohol may work in reducing symptoms in some patients. Surgical treatment may be indicated in some cases.[1]Information detailing treatment options can be accessed throughMedscape Reference.Areview article from 2015also summarizes what is known about the effectiveness of currently available treatments."
Pyruvate dehydrogenase complex deficiency,"The goal of the treatment for pyruvate dehydrogenase complex (PDC) deficiency is to stimulate the pyruvate dehydrogenase complex to produce as much energy as possible. This can prevent immediate worsening of the disease.[1][4]Treatment options typically include supplementingcofactorsincludingcarnitine,thiamine, andlipoic acid. These are substances in the body that help the chemical reactions in thecellsoccur.[1]Certain genetic changes (mutationsor pathogenic variants) that cause PDC deficiency may be more responsive to thiamine treatment than others.[7]A medication calleddichloroacetatemay help treat some people with PDC deficiency. Doctors may also recommend a diet that is high in fats and low incarbohydrates(ketogenic diet). This can help prevent lactic acidosis but typically does not stop neurological symptoms.[1]Medications to help preventseizuresmay be recommended for some people with PDC deficiency.[8]"
