Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Polyembryoma,"Because polyembryomas are quite rare, there are no established guidelines for treating this condition.  However, the first step for treating a polyembryoma is often surgery to remove as much of thetumoras possible.Chemotherapy, and sometimesradiation therapy, have also been used after surgery to destroy anycancercellsthat may remain.[2][3]"
Granulomatosis with polyangiitis,"The treatment for granulomatosis with polyangiitis (GPA) usually includes a combination of multiple medications. These medications typically include:[2]Glucocorticoidssuch asprednisoneImmunosuppressive drugssuch as rituximabIf there are skin lesions present, they may be treated with a topicalsteroidthat is applied to the affected area.[5]Surgery may be recommended if swelling of the airway or lungs is preventing normal breathing.[2]Other medications may be recommended to help treat GPA. These medications are often used to treat the side-effects that may be associated with glucocorticoids and immunosuppressive drugs and may include:[2]Bisphosphonateto prevent bone weakening that can be caused by prednisoneAntibioticsto prevent lung infectionsMedscape Referencealso provides information about the treatment of GPA, including a section detailing alternative and/or promising therapies."
Gray platelet syndrome,"There is no specific treatment for GPS, but management involves anticipating and preventing risks of bleeding (e.g. possibleplatelettransfusions before surgery). Treatment may also include administration ofdesmopressin.Splenectomyshould be considered to increase the platelet counts in those whose platelet counts decrease to approximately 30,000/microliter.Prognosisis generally good early in life whenthrombocytopeniais mild. Those with platelets counts less than 30,000/microliter are at risk for life-threatening bleeding.[1]"
Granuloma annulare,"If the rash is not itchy or causing bothersome symptoms, then it usually does not need to be treated.[3]The localized form of granuloma annulare may be treated with topical steroid creams, topicaltacrolimus or pimecrolimus, cryotherapy (freezing of the lesions), or laser therapy.[3]The generalized form of granuloma annulare can be more difficult to treat and many treatment options have been tried. There is little information on which treatments are best because none have been studied in largeclinical trials. The first treatments are usually topical steroid creams or steroid injections into the lesions. These treatments work best when the condition isn't widespread. Light therapy, also called phototherapy, is another treatment option and involves exposing the skin to ultraviolet light. It may includeUVA1 phototherapy,PUVA photochemotherapy, orphotodynamic therapy.[4]Other medications that may be given for generalized granuloma annulare includehydroxychloroquine,isotretinoin, ordapsone. Combinations of certainantibiotics(rifampin,ofloxacin, andminocycline) have been shown to be successful in some cases. For people with very severe disease, treatment options may includecyclosporine,infliximab, oradalimumab.[4][3]Many of these treatments have shown results in only a few patients and can have side effects. The risks and benefits of each treatment option should be discussed with your doctor."
Primary angiitis of the central nervous system,"The current treatment recommendation is to start with oralprednisoneat a dose of 1 mg/kg per day andcyclophosphamideat a dose of 2 mg/kg per day. Most centers use prednisone and cyclophosphamide for 4-6 months to induce clinicalremission, and then taper prednisone off.[1]Patients generally stay on cyclophosphamide therapy between three and six months, depending on when remission occurs and if there are any potential side effects from cyclophosphamide. Once cyclophosphamide is discontinued, it should be replaced with a less toxic medication for an additional six to twelve months of maintenance therapy. Some doctors switch from cyclophosphamide toazathioprine(2 mg/kg) ormycophenolatemofetil.Methotrexatecan also be used, but may be limited by its difficulty to cross the blood brain barrier. There is limited data on how long the maintenance therapy lasts so the decision on the duration of the therapy should be individualized, based upon how the patient responds to therapy.[3]"
Granulomatous rosacea,"As with other types or rosacea, patients with granulomatous rosacea are advised to avoid known exacerbating factors such as hot drinks, alcohol, and extremes of temperature. In  addition, they should be encouraged to use a noncomedogenic high-factor sunscreen when exposed to sunlight and wind.[1]Treatment of granulomatous rosacea is not different from classical rosacea andtetracycline,doxycycline,erythromycinorminocyclineare usually effective.[1][2]In addition,topical metronidazolemay be helpful for mild disease and in addition to systemic therapy. Topical keratolytics such asbenzoyl peroxideandazelaic acidoffer limited symptomatic control of inflammatory pustules.Isotretinoin(Accutane) may be helpful for recalcitrant (hard to treat) disease, but recurrence is common. Long-term, low-dose isotretinoin therapy may be suitable for some patients.Dapsonehas a pharmacological double function as both anantibioticand an anti-inflammatory drug. The value of dapsone in granulomatous rosacea, however, has not yet been established by controlled studies. Permanent telangiectasia may be treated by electrosurgery or by pulsed dye laser.[1]More in-depth information about the treatment of rosacea, including granulomatous rosacea, can be found on theeMedicineweb page."
Gray zone lymphoma,"Gray zone lymphoma shares features with two other types of lymphoma, classical Hodgkin lymphoma (cHL) and mediastinal large B-celllymphoma (MLBCL).  Because MLBCL and cHL are treated differently, it is unclear how gray zone lymphoma should be treated.  At this time, there are no guidelines for the best treatment of gray zone lymphoma; treatment is determined based on each individual's diagnosis.  Treatment usually begins withchemotherapy, which may be followed byradiation therapyin some cases.[1]"
Griscelli syndrome type 2,"Bone marrow transplantationis the most effective treatment and the only possible cure for Griscellisyndrometype 2 (GS2).Immunosuppressive therapiesmay be used in preparation for transplantation, and to suppress damage to multipleorganscaused byhemophagocytic lymphohistiocystosis. Recurrent infections may be minimized with antibacterial and antiviral medications. In addition, avoiding interactions that increase the risk of infection is important.[3]Additional information about various medications used to treat GS2 can be viewed on Medscape Reference's website here."
Pseudoxanthoma elasticum,"Unfortunately, there is no cure for pseudoxanthoma elasticum.  Affected individuals are recommended to have regular physical examinations with their primary care physician and routine eye examinations with an eye doctor (ophthalmologist) who is familiar with retinal disorders.  A team of doctors in other specialties - includingdermatology,cardiology,plastic surgery,vascularsurgery,genetics, andnutrition- may also help with the management this condition.  Individuals should be alert to changes in their vision and should inform their eye doctor of any such changes.  Several therapies may be effective for slowing the reduction in vision in PXE.  Surgery may help to reduce skin symptoms, gastrointestinal symptoms, or severe vascular symptoms in the legs.[1]"
Grover's disease,"There is no cure for Grover's disease and treatment is usually based on a person's symptoms. Affected individuals are usually advised to avoid strenuous exercise and excessive sun exposure, as sweating and heat may induce more itchy spots. Initial treatment options includetopical steroid creamssuch as hydrocortisone, anti-itch lotions containing menthol or camphor, andcalcipotriolcream. For more severe cases, options includetetracycline,isotretinoin, antifungal pills such asitraconazole,PUVA phototherapy, and cortisone (steroid) injections. These treatments have important side effects and may not be necessary for mild cases.[1][2][3]"
Mandibulofacial dysostosis with microcephaly,"Individualized treatment of craniofacial features is managed by a multidisciplinary team which may include various specialists. Surgery may be needed for a variety of abnormalities, in the newborn period or beyond. Treatment ofhearing lossis individualized, and may involve conventional hearing aids, bone-anchored hearing aid, and/or cochlear implants. Occupational, physical, and/or speech/language therapies are involved as needed to optimize developmental outcome.[2]Additional treatment information is available on GeneReviews' Web site."
Laron syndrome,"There is currently no cure for Laronsyndrome. Treatment is primarily focused on improving growth.[4]The only specific treatment available for this condition issubcutaneous injectionsof insulin-like growth factor 1 (a growth-promotinghormone), often called IGF-1. IGF-1 stimulates linear growth (height) and also improves brain growth and metabolic abnormalities caused by long-term IGF-1 deficiency. It has also been shown to raise blood glucose levels, reduce cholesterol, and increase muscle growth.[3]IGF-1 and GH levels should be closely monitored in people undergoing this treatment because overdosage of IGF-I causes a variety of health problems.[5]"
