Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Hemifacial microsomia,"Treatment of hemifacial microsomia varies depending on the features present and the severity in each affected person. Various types of surgeries may be needed in many cases.Some children need breathing support or atracheostomysoon after birth if the jaw is severely affected. However in most cases, airway problems can be managed without surgery. Those with a jaw deformity and/or clefts may have feeding problems and may need supplemental feedings through anasogastric tubeto support growth and weight gain. Babies born withcleft lip or palatecan have surgical repairs done during the first year.Cleft liprepair is typically performed when the child is 3-6 months old, whilecleft palatesurgery is generally performed when the child is about a year old. A lateral facial cleft, one of the most severe abnormalities associated with the condition, also requires reconstruction in stages.If eye closure is incomplete due to eyelid abnormalities or facial paralysis is present, a child may need eye protection or surgery. Surgery may also be used for eyelid differences to reposition the lower lids and corners of the eyes. Some children with abnormally shaped or missing ears may choose to have a series of reconstructive surgeries to make the ear appear more normal. Children with skin, cheek and other softtissuedeficiencies may need augmentation procedures such as fat grafting or tissue transfer. Severe bone abnormalities may require surgery as well.[14]Because multiple body systems may be involved in hemifacial microsomia, affected people should continually be monitored for complications."
Trimethylaminuria,"Although there is no cure for trimethylaminuria, the following are some ways to reduce symptoms of odor:[1][3]Avoidance of foods that contain trimethylamine and its precursors (choline, lecithin, and trimethylamine N-oxide). Trimethylamine is present in high levels in milk obtained from wheat-fed cows. Choline is present in high amounts in: eggs, liver, kidney, peas, beans, peanuts, soy products, brussels sprouts, broccoli, cabbage, and cauliflower. Trimethylamine N-oxide is present in seafoodLow doses ofantibiotics. This decreases the amount of trimethylamine that is made bybacteriain the intestinesLaxativescan decrease the amount of time food remains in the intestines and therefore reduce the amount of trimethylamine madeNutritional supplements (activated charcoal and copper chlorophyllin) can decrease the concentration of trimethylamine in the urineSoaps with a moderatepH(between 5.5 and 6.5) can help remove the secreted trimethylamine from the skinRiboflavin (vitamin B2) supplements can enhance any existing FMO3enzymeactivity (which breaks down trimethylamine)Avoidance of exercise, stress, emotional upsets, and other factors that can promote sweatingPeople with trimethylaminuria may also find the following to be helpful:[1]Behavioral counseling to help with depression and other psychological symptomsGenetic counselingto better understand how they developed trimethylaminuria and the risks of passing the condition on to their childrenNOTE: People should follow the treatment advice of their healthcare provider and should not attempt to self-administer these treatment approaches. Medications and supplements can have unintended interactions, and dietary restrictions can result in nutritional deficits."
Fitz-Hugh-Curtis syndrome,"Fitz-Hugh-Curtissyndrome(FHCS) is treated withantibiotics, given byintravenous(IV) injection or as medication taken by mouth.  The specific antibiotic medication is determined by the type of underlying infection; that is, treatment depends on whether the infection ischlamydiaorgonorrhea.  If pain continues after treatment with antibiotics, surgery (laparoscopy) may be done to remove bands oftissue(adhesions) that connect the liver to the abdominal wall and cause pain in individuals with FHCS.[1][2]"
Florid cemento-osseous dysplasia,"In many cases florid cemento-osseous dysplasia does not require treatment, however careful follow-up may be warranted.[2]When the condition causes discomfort, pain, or disfigurement, the treatment plan is tailored to the patient. The following article describes the treatment of florid cemento-osseous dysplasia in one patient. We recommend that you speak with your dentist to learn more about your treatment options and for referrals to local specialists.Minhas G, Hodge T, Gill DS.Orthodontic treatment and cemento-osseous dysplasia: a case report.J Orthod. 2008 Jun;35(2):90-5.You can also use the following tools to help you find specialists in your area.The Academy of General Dentistry has a tool for finding member dentists in your area.http://www.knowyourteeth.com/findadentist/The American Association of Oral and Maxillofacial Surgeons offers the following tool for findingmember oral and maxillofacial surgeons in your area.http://www.aaoms.org/findoms.phpSometimes with more rare diseases, it can be helpful to have an evaluation with a specialist at a major university hospital or academic medical center. Such facilities often have access to up-to-date testing and technology, a large group of health care providers and specialists to consult with, and research opportunities."
Lichen planopilaris,"There is not yet a cure for lichen planopilaris. Treatment depends on how much of the scalp is affected and how quickly the condition progresses.[6]A high or moderate potencysteroidcream is often effective in treating lichen planopilaris. If this is not effective, steroid injections (into
skin lesions), or systemiccorticosteroids(taken by mouth) may be considered.Hydroxychloroquine(Plaquenil),retinoids(Accutane), oralcyclosporine,methotrexate,mycophenolate mofetil,rituximab, andpioglitazonehave also been used to treat lichen planopilaris with
some success, although information on these treatments is limited.[3][6][7][8][9]Unfortunately even with successful treatment, lichen planopilaris can return."
Fowler's syndrome,"The urinary incontinence caused by Fowler’ssyndromemay be treated by sacral neuromodulation therapy.[1]The success rate for treatment of Fowler’s syndrome with neuromodulation has been estimated to be around 70%, even in women who have been experiencing symptoms for a while.[3]Neuromodulation therapy involves the stimulation of nerves to the bladder leaving the spine. The FDA has approved a device called InterStim for this purpose. Your doctor will need to test to determine if this device would be helpful to you. The doctor applies an external stimulator to determine if neuromodulation works in you. If you have a 50 percent reduction in symptoms, a surgeon will implant the device. Although neuromodulation can be effective, it is not for everyone. The therapy is expensive, involving surgery with possible surgical revisions and replacement.[3]Other treatments that have been tried with little success include hormonal manipulation, pharmacologic therapy, and injections of botulinumtoxin.[1]"
Fragile X syndrome,"There is no specific treatment available for fragile Xsyndrome.  Management of this condition is generally supportive and may include:recognizing the need for special education and avoiding excessive stimulation, which may help with behavioral problemsearly educational intervention and special education that is tailored to specific learning difficulties; small class size, individual attention and avoidance of sudden change is often neededmedications for behavioral issues that affect social interactionroutine medical management ofstrabismus, ear infections, reflux,seizures,mitral valve prolapse, and/orhigh blood pressure.[3]"
Hallermann-Streiff syndrome,"Treatment for Hallermann-Streiffsyndromedepends on the specific signs and symptoms present in each affected individual. Early disease management for infants may include monitoring of breathing, consideration oftracheostomy, and various measures to improve feeding and ensure sufficient intake of nutrients. Although early surgical removal ofcataractsmay be recommended to help preserve vision, some studies have suggested that spontaneous cataract absorption may occur in up to 50% of untreated patients. Regular appointments with anophthalmologistare strongly recommended to identify and treat other eye abnormalities, some of which may require surgical intervention.With respect to dental anomalies, natal/neonatal teeth (teeth present at birth) may be incorrectly diagnosed as extra teeth and there may be a tendency to extract them. However, the loss of teeth may worsen glossoptosis (posteriorly location of the tongue) or cause other complications. It has thus been recommended to preserve prematurely erupting teeth to facilitate eating until the existence of successional permanent teeth can be confirmed. Ensuring good dental hygiene is also important.Management of the condition may also include surgical reconstruction of certain craniofacial malformations (particularly the mandibular and nasal region) at the appropriate age. For some affected infants and children with heart defects, medical treatment and/or surgical intervention may be recommended.[3]"
Gamma heavy chain disease,"People with symptoms may respond tochemotherapydrugs,corticosteroids, andradiation therapy.[2][3]Commonly used chemotherapeutic agents include cyclophosphamide,prednisone, vincristine, chlorambucil and doxorubicin. Patients are most commonly treated and followed byoncologistsand/orhematologists.[1]Additional information about treatment of gamma heavy chain disease can be found through PubMed, a searchable database of biomedical journal articles. Although not all of the articles are available for free online, most articles listed in PubMed have a summary available. To obtain the full article, contact a medical/university library or your local library for interlibrary loan. You can also order articles online through the publisher's Web site. Using ""gamma heavy chain disease [ti] AND treatment"" as your search term should help you locate articles. Use the advanced search feature to narrow your results.Click hereto view a search."
Freiberg's disease,"The treatment of Freiberg's disease depends on many factors, including the severity of condition; the signs and symptoms present; and the age of the patient. The primary goal of therapy is to rest the joint and reduce pain and swelling. A more conservative treatment approach is typically attempted initially which may include modification of activities with different types of casts, crutches and/or shoe inserts, as needed. Medications such asnonsteroidal anti-inflammatory drugs (NSAIDs)may be recommended to manage pain.[1][2][3]If other treatments are not effective, surgery may be necessary.Medscape Reference'sWeb site offers more specific information regarding the different surgical procedures used to treat Freiberg's disease. Please click on the link to access the resource."
Frontometaphyseal dysplasia,"Treatment depends on the symptoms present in the person, and may include:[1][2]Hearing lossaids for deafnessSurgery to correct the facial deformities including the frontal deformitySurgery to correct the jointcontractures, the limb bowing, and thescoliosis."
Hemochromatosis type 5,"The treatment options for hemochromatosis type 5 may depend on the signs or symptoms that each person has. The family with this disease that has been reported in the medical literature did not have symptoms of the disease. For people who do not have symptoms of hemochromatosis type 5, treatment may not be necessary. Doctors may wish to monitor these people withblood teststo make sure iron levels do not become too high. This management is used for people who have other types of asymptomatic hemochromatosis.[5]If a person with hemochromatosis type 5 has symptoms of the disease, a doctor may recommend treatments that are used in other types of symptomatic hemochromatosis. Treatment options may include reducing iron levels by removing blood (phlebotomy),iron chelation therapy, dietary changes, and treatment for complications of the disease.[5]Dietary recommendations for people with hemochromatosis may include avoiding alcohol and red meat. People with hemochromatosis are not recommended to take iron or vitamin C supplements.[6]For more detailed information regarding the treatment of hemochromatosis, please reference theMedscape article about hemochromatosis.You may need to register to view the article, but registration is free."
Myoclonic epilepsy with ragged red fibers,"While there is no cure for MERRF, there are various medications and therapies that can be helpful in managing symptoms. This includes: Antiseizure medications,levetiracetamfor myoclonus,physical therapy, and aerobic exercise. Standard medication is used to treat cardiac symptoms.Daily use ofCoenzyme Q10andL-carnitinehave been of some benefit to individuals. Other supplements that might be utilized include creatinine and lipoic acid.[1]"
