Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Polymyositis,"The treatment of polymyositis is based on the signs and symptoms present in each person. Although there is currently no cure, symptoms of the disease may be managed with the following:[2][7]Medications such ascorticosteroids, corticosteroid-sparing agents, or immunosuppressive drugsPhysical therapyto improve muscle strength and flexibilitySpeech therapyto address difficulties with swallowing and speechIntravenous immunoglobulin: an infusion of healthyantibodiesthat are given to block damagingautoantibodiesthat attack the muscleMescape Referenceoffers more specific information regarding thediagnosis and treatment of polymyositis."
Pontocerebellar hypoplasia type 1,"Treatment for pontocerebellar hypoplasia type 1 (PCH1) is aimed at treating the signs and symptoms present in each individual. Management options may includephysical therapyor braces on the limbs to help withjoint contractures,ventilation machinesfor breathing assistance, anti-seizuremedication, and afeeding tubeif the child is not able to eat without one.[4]These treatment options are aimed at relieving some of the symptoms of PCH1, but there is no cure for the disease.[2][5]"
Porokeratosis of Mibelli,"Treatment depends on the size, location, and aggressiveness of porokeratosis of Mibelli.  Affected individuals are recommended to visit their personal physician regularly to watch for signs of skincancer, limit sun exposure to the affected area, and use moisturizers as needed.[2]Imiquimodcream has been found to be an effective treatment, as has5-fluorouracil cream.  A group of medications called retinoids (includingacitretinandisotretinoin), as a pill or cream, may be another treatment option.[2]If a skin cancer develops from porokeratosis of Mibelli, surgery is recommended.[1]"
Punctate porokeratosis,"Treatment depends on the size, location, and aggressiveness of punctate porokeratosis.  Affected individuals are recommended to visit their personal physician regularly to watch for signs of skincancer, limit sun exposure to the affected area, and use moisturizers as needed.[2]5-fluorouracil creamhas been found to be an effective treatment.  A group of medications called retinoids (includingacitretinandisotretinoin), as a pill or cream, may be another treatment option.[2]If a skin cancer develops from porokeratosis, surgery is recommended.[1]"
Variegate porphyria,"Acute attacks are managed and may be prevented as in acute intermittent porphyria.[1][2]Hospitalization is often necessary for acute attacks. Medications for pain, nausea and vomiting, and close observation are generally required. A high intake of glucose or other carbohydrates can help suppress disease activity and can be given by vein or by mouth. Intravenous heme therapy is more potent in suppressing disease activity. It can be started after a trial of glucose therapy. However, the response to heme therapy is best if started early in an attack. Heme must be administered by vein.Panhematinis the only commercially available heme therapy for treatment and prevention of acute porphyric attacks in the United States. Heme arginate, which is marketed in some other countries, is another preparation of heme for intravenous administration.[5]"
Sheehan syndrome,"Treatment involves replacement of thehormonesproduced by the pituitary gland. The following may be recommended, depending on individual circumstances:[1][2]Estrogenalone (if the uterus has been removed) orestrogen and progesteronein combination. This should be taken at least until the normal age of menopause.Levothyroxineto replace thyroid stimulating hormone. This will need to be taken throughout the lifetime.Corticosteroidsto replace adrenal hormones. These must also be taken throughout the lifetime.Growth hormonemay also be suggested, as this may help normalize the body's muscle-to-fat ratio, maintain bone mass, lower cholesterol levels, and/or improve overall quality of life.The levels of these hormones should be monitored on a regular basis and may need to be adjusted periodically based on factors such as stress level, illness, pregnancy, or changes in weight.[2]"
Prader-Willi syndrome,"A multidisciplinary team approach is ideal for the treatment of people with Prader-Willisyndrome(PWS). Early diagnosis, early multidisciplinary care, and growthhormone treatmenthave greatly improved the quality of life of many affected children. In general, management of this condition depends on the affected person's age and symptoms.[2][3]When a diagnosis of PWS is made, several evaluations are needed to assess the extent of the condition. For example, newborns should be assessed for sucking problems; infants should be assessed for development; and young children should have a vision exam. All males should be evaluated for the presence ofcryptorchidism. Other associated conditions for which evaluations may be recommended includehypothyroidism,scoliosis, behavioral problems, psychosis, and respiratory problems and sleep issues.[2][3]In infants, special feeding techniques may be needed. Young children often need early intervention, includingphysical therapyfor muscle strength and reaching physical milestones, and speech therapy for language issues. Cryptorchidism may resolve on its own but usually requires hormonal and/or surgical treatment. When excessive eating begins and weight percentiles increase, affected children should be on a program of a well-balanced diet, exercise, and close supervision with food. A consultation with adietitianis recommended. Behavioral problems may be addressed with special behavioral management programs. Serotonin uptake inhibitors have helped many affected teenagers and adults, particularly those with obsessive-compulsive symptoms.[2][3]Growth hormone treatment can normalize height, increase lean body mass, increase mobility, and decrease fat mass. Controlled trials of growthhormonetherapies have shown significant benefit from infancy through adulthood. Benefits may include an increase in language and cognitive skills, and better motor performance. Sex hormone replacement helps to produce secondary sex characteristics (those that develop during puberty) but is somewhat controversial due to possible behavior problems in males, risk of stroke, and hygiene concerns related to menstruation in females.[2][3]Clinical trialsinvestigating potential treatment options for people with PWS are ongoing. ClinicalTrials.gov provides patients, family members, and members of the public with current information onclinical research studies for PWS.  Use each study's contact information to learn more."
Preauricular sinus,"The majority of preauricular sinuses do not cause symptoms or problems unless they become infected. Common signs of infection include swelling, redness, fluid drainage, and pain. In these cases, treatment typically includes systemicantibiotics. If anabscessis present, it will likely need to be incised and drained.[2][3]There are differing opinions in the medical literature about the indications for surgical removal of preauricular sinuses. Some believe that even asymptomatic sinuses should be removed. Others believe that surgery is indicated if infection or other complications arise.[2][3]"
Progressive bulbar palsy,"Treatments aim to help people cope with the symptoms of progressive bulbar palsy, such as feeding tubes, devices to help with talking, and medicines to treat muscle spasms, weakness, drooling, sleep problems, pain, and depression.[1][3][2]The Robert Packard Center for ALS Research at John Hopkins offers further general information on treatment:http://www.alscenter.org/what-is-als/treatment/index.htmlThe Mayo Clinic provides information on treatment of ALS in general, which may be helpful:http://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/diagnosis-treatment/treatment/txc-20247219If you are interested in learning aboutclinical trials, we recommend that you call the Patient Recruitment and Public Liaison (PRPL) Office at the National Institutes of Health (NIH) at 1-800-411-1222.Organizations, such as theALS AssociationandMuscular Dystrophy Associationare great sources for information on clinical trial opportunities and research.You can find information about participating in a clinical trial as well as learn about resources for travel and lodging assistance, through theGet Involved in Researchsection of our Web site."
Progressive deafness with stapes fixation,"Treatment for progressive deafness with stapes fixation be treated typically involves surgery.[1][2]The conductive component of thehearing losscan be restored by surgery or hearing aids. The associated sensorineural component is managed by hearing aids orcochlear implants, depending on its severity.[2]Stapedotomy (a procedure where a laser is used to make a hole in the stapes) or partial stapedectomy (removal of the stapes) with stapes replacement using a prosthesis most commonly achieves satisfactory results with minimal complications.[4][7]"
