Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Gardner-Diamond syndrome,"There is no specific treatment for Gardner-Diamondsyndrome(GDS).[4]It has been suggested that psychiatric treatment (including psychotherapy) is the only reasonable therapeutic option.[1]In some people, psychiatric medications for mental illness have helped to improve the symptoms. For example, in a person with GDS and an underlying personality disorder, medications used to treat the personality disorder may help with the symptoms of GDS.[3]Due to the presumed psychological nature of the disease, placebo effect has been used successfully to ease the severity of symptoms.[4]It has been proposed that certain medications used to alter the tonus of the capillaries (how they contract), the permeability of the vessels, and/or the flowing properties of the blood may be useful for some people.[3]Symptomatic therapy may be helpful for severe, general symptoms. Several approaches including antihistamines,corticosteroids, antidepressants,hormones, and vitamins have had variable success.[4]"
Autoimmune atrophic gastritis,"The treatment of autoimmune atrophic gastritis is generally focused on preventing or treatingvitamin B12andiron deficiencies. Ifpernicious anemiais already present at the time of diagnosis,  vitamin B12shots (injections) may be recommended. Since dietary and oraliron supplementsdo not usually improve iron levels, alternative iron therapy approaches may include receiving periodicintravenous(IV) iron (iron infusion) to increase iron stores or a daily dose of oral ferrous glycine sulfate to meet daily iron requirements. People with autoimmune atrophic gastritis should have their levels of B12and iron monitored for the rest of their life.[1][2][3]In some cases,periodic endoscopymay also be recommended due to the increased risk of certain types ofcancer.[1][2][3]"
Autoimmune autonomic ganglionopathy,"Since autoimmune autonomic ganglionopathy is so rare, no standard treatments have been established.[1][2][3]Experts familiar with this condition often useplasma exchangeor total plasmapheresis,intravenous immunoglobulin(IVIG), IVcorticosteroids, or immunosuppressive drugs, such asRituxanto treat the symptoms of the disease.[2]A therapeutic trial for autoimmune autonomic ganglionopathywas recently completed by the Autonomic Disorders Consortium.[1]"
Evans syndrome,"The best treatment options for Evanssyndromedepend on many factors, including the severity of the condition; the signs and symptoms present; and each person's response to certain therapies. For example, people who need to be hospitalized due to severeanemiaorthrombocytopeniaare often treated withblood transfusionsfollowed by therapy withcorticosteroidsorintravenous (IV) immune globulin. Other treatment options include immunosuppressive drugs.[1]Most affected individuals respond to these treatments; however, relapse is frequent.[6]In people who do not respond to standard treatments, therapy withrituximaborsplenectomymay be considered. Some people with Evans syndrome respond well to rituximab treatment and experience an extended period ofremission, while others have little to no response.[6]People undergoing splenectomy may show immediate improvement; however, relapses are common and, in most cases, occur within 1-2 months after the procedure.[1]For cases that are very severe and difficult to treat, astem cell transplantmay be used to provide a long-term cure.[6]Autologous and allogeneicstem celltransplantation have been used in a small number of patients (14 patients aged 5-52 years), with mixed results.[1]"
Lymphocytic hypophysitis,"Lymphocytic hypophysitis can evolve differently among affected individuals, so different treatment strategies may be required. Some individuals experience spontaneousremission(improvement or reversal of the condition without any formal treatment). Careful follow-up is typically recommended.[1]Many affected individuals only have headaches as a manifesting symptom, and there have been multiple reports of these individuals improving withglucocorticoidsalone.[4]Although the use of glucocorticoids or other anti-inflammatory and immunosuppressive drugs have been suggested as medical treatment, their long-term efficacy still needs to be confirmed. High-dose methylprednisolone pulse therapy (short, intensive administration given at set intervals) seems to be effective in about 30% of treated patients.[1]Transsphenoidal surgery(accessed ""through the nose"") to confirm diagnosis and save viable pituitarytissuemay be required in individuals with symptoms or signs of severe compression.[1]Visual improvement following decompression with this type of surgery has been reported.[4]In some cases, pituitarybiopsyis both diagnostic and therapeutic, because after this procedure a progressive recovery of pituitary function may occur.[1]"
Lewy body dementia,The Lewy Body Dementia Associationoffers detailed and up-to-date information regarding the treatment and management of Lewy bodydementia. Please click on the link to access this resource.
Dominant dystrophic epidermolysis bullosa,"There is currently no cure for all types of dystrophic epidermolysis bullosa (DEB). Treatment generally focuses on managing signs and symptoms. For some individuals, such as those that have a mild form of dominant dystrophic epidermolysis bullosa (DDEB), dystrophic nails may be the only manifestation. However, other individuals may have much more severe problems that need to be managed. Management typically focuses on treating blisters and avoiding or treating infections.[4]Wound care usually included treatment of new blisters by lancing and draining. Additionally in most cases, wounds are then dressed with a non-adherent material, covered with padding for stability and protection, and secured with an elastic wrap for integrity. Due to the increased risk of bacterial resistance, topicalantibioticointments and antimicrobial dressings should be reserved for those wounds that are colonized withbacteriaand fail to heal, referred to as “critical colonization.""[4][5]Individuals with epidermolysis bullosa (EB)  have increased caloric andproteinneeds due to the increased energy utilized in wound healing. Involvement of the digestive system in some forms of EB may limit nutritional intake. Infants and children with more severe forms of EB andfailure to thriveusually require attention tofluid and electrolyte balanceand may require nutritional support, including agastrotomy feeding tube.Anemiais typically treated with iron supplements and transfusions as needed. Other nutritional supplements may include calcium, vitamin D, selenium, carnitine, and zinc.[4][5]Surveillance is important for individuals with DEB.Biopsiesof abnormal-appearing wounds that do not heal may be recommended in some types of DEB due to predisposition tosquamous cell carcinoma, beginning in the second decade of life.Screeningfor deficiencies of iron, zinc, vitamin D, selenium, and carnitine is typically recommended after the first year of life. Routineechocardiogramsare recommended to identifydilated cardiomyopathy, andbone mineral density studiesare recommended to identifyosteoporosis. Activities and bandages that may traumatize the skin (including all adhesives) should typically be avoided.[4]Recent treatment advancements and therapies under investigation include but are not limited to[4][5][9]:Use of biological dressings to treat chronic or recurrent skin ulcersBone marrow transplantationIntra-dermal (in the skin) injection offibroblastsProtein replacement therapy (intra-dermal injection of type VII collagen)Gene therapyRevertant mosaicismGenecorrection technologies (ex.CRISPR)DEBRA International has developed clinical practice guidelines for different aspects of treating EB including wound care and pain management. Click on thelinkto see their completed guidelines."
Hemochromatosis type 4,"Treatment for hemochromatosis type 4 depends on whether the affected person has hemochromatosis type 4A or hemochromatosis type 4B. People with hemochromatosis type 4B can be treated similarly to people who have other types of hemochromatosis. Treatment options may include reducing iron levels by removing blood (phlebotomy),iron chelation therapy, dietary changes, and treatment for complications of the disease.[2]Treatment for people with hemochromatosis type 4A typically does not involve phlebotomy. This is because people with hemochromatosis type 4A may develop low levels ofred blood cells(anemia) if they receive phlebotomy treatments. Instead, people with hemochromatosis type 4A are closely monitored with blood tests to determine if they are having symptoms of the disease and how the disease may best be treated.[2][5]Dietary recommendations for people with hemochromatosis may include avoiding alcohol and red meat. People with hemochromatosis are not recommended to take iron or vitamin C supplements.[8]For more detailed information regarding the treatment of hemochromatosis, please reference theMedscape article about hemochromatosis.You may need to register to view the article, but registration is free."
PACS1-related syndrome,"The treatment of PACS1-relatedsyndromedepends on the signs and symptoms present in each person. When a child or adult is first diagnosed with PACS1-related syndrome, a number of tests and consultations may be recommended including:[2][4]Meeting with a dietician to discuss any feeding problemsEEGto assess if there are anyseizuresoccurringBrain MRIto look for any brain abnormalitiesConsultation with anophthalmologistto assess for any eye abnormalitiesUltrasoundof heart and kidneys.Although there is no cure for PACS1-related syndrome, there are treatment and therapy options that can help manage many of the signs and symptoms of the syndrome.Anti-epileptic medicationscan be used to help control seizures. Sometimes, children with PACS1-related syndrome may need feeding tubes to help them get enough nutrients. Children with PACS1-related syndrome may be recommended to be followed by a developmentalpediatrician, and they may benefit fromspeech,physical, andoccupationaltherapy. Some children and adults with PACS1-related syndrome are better able to communicate if they learn sign language or have an electronic device to help them communicate.[2][3][4]"
Limb-girdle muscular dystrophy,"Unfortunately, no definitive treatments for LGMD exist. Management depends on each individual and the specific type of LGMD that the individual has. However, theAmerican Academy of Neurologyhas developed guidelines for treatment of  LGMD including:[5][6]Weight control to avoid obesityPhysical therapyand stretching exercises to promote mobility and preventcontractures(fixed tightening of the muscles)Use of mechanical aids such as canes, walkers, orthotics, and wheelchairs as needed to help ambulation and mobilityMonitoring and surgical intervention as needed for orthopedic complications, such as foot deformity andscoliosisMonitoring respiratory function and use of respiratory aids when neededMonitoring for evidence ofcardiomyopathyin the types of LGMD with known occurrence of cardiac involvementMonitoring of weight given the potential for swallowing issues (dysphagia) and use of nutritional supplementation as neededSocial and emotional support and stimulation to maximize a sense of social involvement and productivity, and to reduce the sense of social isolation common in these disordersA team approach to treatment is recommended including aneurologist,pulmonologist,cardiologist, orthopedic surgeon,physiatrist, physical/occupational/speech therapist,nutritionist,orthopedist, mental health counselors, andgeneticist/genetic counselor.[5][6]While not a currently available treatment option, some studies have shownpromising results with the use ofgene therapy. More research is needed to prove the safety and efficacy of this treatment approach.[6]"
