Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Microcephalic osteodysplastic primordial dwarfism type 1,"At this time there are no specific treatments for MOPD1. Treatment is generally supportive. Theprognosisis poor for affected individuals, with most of the reported patients dying within the first year of life.[1]"
Dentinogenesis imperfecta type 3,Treatment is usually focused on protecting primary (baby) and then permanent teeth with preformed pediatriccrownsand other interventions. The replacement of teeth might be considered in the future withdenturesand/or implants.[2]The following article featured in theOrphanet Journal of Rare Diseasesoffers more specific details regarding the treatment of dentinogenesis imperfecta. Please click the link to access this resource.
Punctate palmoplantar keratoderma type I,"Treatment options for punctate palmoplantar keratoderma type I generally include topical creams and removal of the lesions by a doctor. In some cases, oral medications may be prescribed to try to ease symptoms. These therapies can lead to temporary softening of the skin and a decrease in skin thickness.[11]Unfortunately, in many cases, treatment does not provide consistent or long-lasting results.[12]There has been some reported success using creams that break up thekeratindeposits on the skin, such ascorticosteroids, urea,salicylic acid, lactic acid, or vitamin A. Systemic therapy using vitamin D analogues, aromatic retinoids, and5-fluorouracilhas also been used. However, people on these medications often require chronic, low-dose therapy. These topical and systemic treatments carry a variety of side effects.[12]Surgery, including excision of affected areas of the skin and replacement with unaffected skin, has been used on lesions resistant to other forms of treatment. However, healing after surgery can be difficult. Treatment with a CO2laser may be possible for limited affected areas on the palms.[12]"
Familial breast cancer,"Management offamilialbreastcanceris generally focused onhigh-risk cancer screeningto allow for early detection and treatment of cancer. In general, theNational Comprehensive Cancer Networkrecommends high-risk breast cancerscreeningfor women who have: (1) a personal andfamily historysuggestive of a hereditary cancersyndromethat is associated with breast cancer or (2) a greater than 20% risk of developing breast cancer in their lifetime based largely on family history. The recommended screening protocol includes:[4]Breast awareness andbreast self-examsClinical breast exams every 6-12 months beginning at age 30 or individualized based on the earliest breast cancer diagnosis in the familyAnnualmammogramand breastMRIbeginning at age 30 or individualized based on the earliest breast cancer diagnosis in the familyDiscussion of other risk reduction strategies such aschemopreventionand/orprophylacticsurgeriesIf the familial breast cancer is part of a known hereditary cancer syndrome, management will also include screening for the other associated cancers. Please click on the following links for more information regarding the treatment and management of each condition:Hereditary Breast and Ovarian CancerCowden syndromeLi Fraumeni syndromeHereditary Diffuse Gastric CancerPeutz-Jeghers syndrome"
Brenner tumor of ovary,Treatment of Brennertumorsof the ovary usually consists of surgery to remove the tumor.[2][3]The age of the patient may be a factor in deciding the extent of the operation.[2]
Pachygyria,"Because the symptoms of the condition vary from person to person, treatment is symptomatic, and may include anti-seizuremedication, such asTrileptal, and special or supplemental education consisting of physical, occupational, and speech therapies.[1][2]"
Pseudopelade of Brocq,"Pseudopelade of Brocq, like most scarring alopecias, is difficult to treat. Treatment, when indicated, focuses on prevention of disease progression. Patients with active lesions and in whom less than 10% of the scalp is involved may benefit from a combination of topicalcorticosteroidsand corticosteroids injected directly into the scalp lesions. Patients with more extensive disease or patients who do not respond to steroids may be offeredhydroxychloroquine. The hydroxychloroquine may be combined initially withprednisoneuntil the hydroxychloroquine has had time to take effect. Hydroxychloroquine therapy can have serious side effects, so blood work and special testing should be performed before and during the course of treatment. Though hydroxychloroquine therapy may be used by some as a first-line therapy, some believe it is most useful in patients with underlying discoid lupus erythematosus (DLE). Additional treatment options includeisotretinoinand mycophenolate mofetil. Surgery might be considered in patients whose condition has remained stable for one year.[4]"
Dermatitis herpetiformis,"Theantibioticdapsoneis extremely effective in treating this condition.[2]Symptomatic improvement may occur in as little as several hours after the first dose.[3]However, dapsone may cause serious side effects and requires regular monitoring by a physician. When this medication is used to relieve the symptoms of dermatitis herpetiformis, it should be taken in the smallest effective dose and for the shortest period possible.[4]In some cases, immunosuppressive medications may be used. These medications do not appear to be as effective.[2]A strictgluten-free dietis also recommended to help control the disease. Following this diet may eliminate the need for medications and prevent later complications.[2][3]"
Brody myopathy,"There is no one treatment for Brody myopathy. Certain muscle relaxants, such asdantroleneand blood pressure medications called calcium channel blockers, such asverapamilhave been used with varying levels of success.[5][3]"
Bronchiolitis obliterans,"Although there is no cure for bronchiolitis obliterans, treatment may help stabilize or slow its progression. The best treatment options and the effectiveness of the selected treatments vary based on the underlying cause and the severity of the condition. Medications often prescribed to people with bronchiolitis obliterans include certain types ofantibiotics(called macrolide antibiotics),corticosteroids, and immunosuppressive drugs. In severe cases,lung transplantationmay be recommended. Therapies such as cough suppressors or supplemental oxygen can also be given to manage the symptoms associated with the condition.[1][3]"
