Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Goldenhar disease,"The treatment of Goldenhar disease is based on the signs and symptoms present in each person. Ideally, affected children should be managed by an experienced multidisciplinarycraniofacialteam. Treatment is age dependent and certain interventions may be recommended at different stages of growth and development.[3][6][8]The following are examples of medical issues that may need to be addressed in a person affected by Goldenhar disease:[3][6]Feeding issues - some people affected by Goldenharsyndromemay have feeding difficulties caused by the associated craniofacial abnormalities. Interventions may include special bottles,supplemental nasogastric feedings, andgastrostomy tube placement.Breathing problems - affected people with an underdeveloped lower jaw may have difficulty breathing or developsleep apnea. In these cases, referral to appropriate medical specialists is recommended so appropriate care can be provided.Hearing loss- a hearing evaluation is recommended in all children with Goldenhar disease by 6 months of age. In those with hearing impairment, hearing aids or other treatments may be recommended.Epibulbartumors(noncancerous growths in the eyes) - these tumors may need to be surgically removed if they are particularly large or interfere with vision.Craniofacial abnormalities (i.e.cleft lip and/or palate),congenital heart defects, kidney problems, and/or spine abnormalities - some of the characteristic symptoms associated with Goldenhar disease may require surgical repair.Speech - people affected by Goldenhar disease are at an increased risk for a variety of speech problems due to the many associated craniofacial abnormalities. A speech evaluation and/or speech therapy may, therefore, be recommended in some affected people."
Myhre syndrome,"Treatment of Myhresyndromedepends on each symptom present. Special attention should be paid to limiting trauma totissues. Specialists that are involved in assessing or treating people with Myhre syndrome includecardiologists,orthopedists, respiratory specialists (lung doctors),gastroenterologists, and other healthcare professionals.[1][2]Some abnormalities or complications may require surgery. Long-term follow up and regular clinical checkups are needed to recognize the onset of certain symptoms or complications.[2]Early intervention is important to ensure that children with Myhre syndrome reach their potential. Special services that may be helpful for children may include special remedial education, special social support,physical therapy, speech therapy, or other services.[2]"
Herpes zoster oticus,"Prompt treatment of herpes zoster oticus is important for symptom relief and long-term outlook.[3]Treatment typically includes anti-inflammatory drugs calledsteroids, which may reduce the inflammation of the nerves and help to ease the pain. Antiviral medications, such as acyclovir or valacyclovir, are often prescribed, although whether antiviral medications are beneficial for treating this condition has not been confirmed. Strong pain medications may be prescribed if the pain continues. An eye patch may be recommended to prevent injury to thecornea(corneal abrasion) and damage to the eye if it does not close completely. Vertigo  and dizziness may be treated with other medications.[4]"
Facial onset sensory and motor neuronopathy,"Due to the rarity of the condition, the best approach for effective treatment is currently unclear. Several treatments have been mentioned in case reports including intravenous immunoglobulin (IVIG),plasmapheresis(PE),corticosteroids,azathioprine,mycophenolate mofetil, andrituximab. Although some patients showed temporary improvements with IVIG and PE, the majority of cases did not respond to any of these treatments.[1]"
Factor 2 deficiency,"The treatment of factor II deficiency depends on the exact cause and severity of the disease. When a person with factor II deficiency has bleeding episodes,fresh frozen plasma, the part of the blood that contains the clotting factors,can be used to treat the bleeding. If a person with factor II deficiency requires surgery,plasma exchange therapymay be used to increase factor II (prothrombin) levels prior to surgery. People who have acquired factor II deficiency may benefit from takingvitamin K. Some people with factor II deficiency may be recommended to avoid activities that can result in physical contact or injuries.[2]In some cases,prothrombin complex concentratescan be used to increase factor II levels. However, because these concentrates contain clotting factors other than factor II, they can result in an increased risk for blood to clot too quickly within the blood vessels (thromboembolic event)[2]."
Factor V deficiency,"Resources state that fresh plasma or fresh frozen plasma infusions will correct the deficiency temporarily and may be administered daily during a bleeding episode or after surgery.[1][3]During severe bleeding episodes,plateletconcentrates may be needed.[3]Individuals with factor V deficiency should discuss treatment options with their primary health care provider and ahematologist."
Sjogren-Larsson syndrome,"Topical application of various agents have been used to treat the ichthyosis.[2]Someclinical studieshave found that a drug called zileuton can be beneficial in the treatment of SLS. In these studies, the drug successfully reduced the severity of the pruritis (itching), and improved the behavior of the treated child. While this drug does not cure SLS, it has the potential to greatly improve the quality of life of children with SLS.[1]Seizuresusually respond well to anti-convulsant medications andspasticityis improved with surgery. Diets supplemented with medium-chain fatty acids have been reported to improve the skin, but the results are inconsistent.[2]More detailed information about treatment options for SLS can be accessed through theTreatmentandMedicationsections of Medscape Reference."
Tyrosinemia type 1,"There is currently no cure for tyrosinemia type 1. Individuals with this condition need to be on a special diet restricted in twoamino acids, tyrosine and phenylalanine, throughout life. Affected individuals may also be treated with a medication callednitisinone. Treatment should start as soon as the condition is diagnosed.  Some individuals require a liver transplant if their liver disease is already advanced before treatment begins.[2][3]Detailed information on the treatment of tyrosinemia type 1 is available fromGeneReviews."
Familial cold autoinflammatory syndrome,"Individuals withfamilialcold autoinflammatorysyndrome(FCAS) are generally advised to avoid exposure to cold temperatures. Bed rest, warmth andcorticosteroidscan be used to treat an acute attack.[4]Treatment may include the use ofbiologic agents(drugs derived from living material) which can control the symptoms of FCAS by blockinginterleukin-1; they are called selective recombinant interleukin-1 receptor agonists. Examples of these agents are rilonacept,anakinra, and canakinumab.[5][4]These agents reportedly have a significant beneficial effect on quality of life for individuals with FCAS.[4]"
Hemophagocytic lymphohistiocytosis,"The best treatment options for hemophagocytic lymphohistiocytosis (HLH) are determined by a number of factors, including the severity of symptoms, the  age of onset, and the underlying cause of the condition.In acquired HLH, it is often necessary to treat the underlying condition. For example, antiobiotics or antiviral medications can be used to treat or prevent infections that may have triggered the exaggerated immune response.Allogeneic hematopoietic cell transplantationis considered a cure forfamilialHLH. It is often recommended that people with confirmed or suspected familial HLH undergo this treatment as early in life as possible. Prior to hematopoieticcelltransplanation,  people with HLH are usually treated withchemotherapyand/orimmunotherapyto destroy excessimmune cellswhich can lead to life-threatening inflammation.[4][5][3][7]Please visit the Histiocyte Society to learn more aboutthe treatment guidelines for HLH."
Fatal familial insomnia,"There is currently no cure for fatalfamilialinsomnia (FFI) or treatment that can slow the disease progression. The management goal is to ease symptoms and keep the person with FFI as comfortable as possible.[1][11]However research is ongoing and a number of potential treatments are being developed.[2][4][7][8]As of 2016, a number of treatments have had some success in slowing disease progression inanimal models, includingpentosan polysulfate,quinacrine(mepacrine), andamphotericin B. Sadly, the results have been less clear inclinical trialsin humans.[8]In Italy, a clinical trial trying to prevent symptoms in people known to have the genetic changes for FFI but have not yet developed symptoms is underway usingdoxyclycline.[4]Most promisingly, several forms ofimmunotherapyhave reported success. The three main research areas focus onantibodyvaccines, dendriticcellvaccines, and adoptive transfer of physiological prionprotein-specific CD4+T-lymphocytes. More research is being done to study how well these treatments work (effectiveness) and if the treatments are safe, but medical researchers believe that these or similar immunotherapies may offer hope for those with FFI in the future.[7][8]"
