Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Collecting duct carcinoma,"Treatment of collecting duct carcinoma (CDC) may include surgery to remove the kidney.Chemotherapymay also be given. The authors of a 2013 review article mentioned thatgemcitabineandcisplatinshould be considered the standard of care for chemotherapy treatment of metastatic CDC. This treatment regimen is similar to what is given fortransitional cell carcinoma, also known as urothelial carcinoma.Immunotherapywas not shown to be effective in treating CDC. There are a few reports of promising results fromtargeted therapysuch assunitiniborsorafenib. Studies are underway to learn more about these treatment options.[2]"
Blue rubber bleb nevus syndrome,"Treatment of blue rubber bleb nevussyndromevaries depending on the severity and location of the affected areas. Skin spots do not usually require treatment, but some individuals with this condition may want treatment for cosmetic reasons or if the location of the nevus causes discomfort or affects normal function. Bleeding in the intestines may be treated with iron supplements andblood transfusionswhen necessary.[1][2][3][4]Surgery to remove an affected area ofbowelmay be recommended for repeated or severe bleeding (hemorrhage).[7]"
Becker muscular dystrophy,"There is currently no cure for Becker muscular dystrophy (BMD), and management aims to help with symptoms and improve the quality of life. Affected people are encouraged to remain active, because inactivity (such as bed rest) can make the muscle disease worse.[3]Physical therapycan help with stretching tight muscles and using assistive devices; occupational therapy can help with daily living skills; and speech therapy may help those withdysphagia(difficulty swallowing). Surgery may be needed for progressivescoliosisand development ofcontractures.[6]People with BMD should be monitored for orthopedic complications. Cardiac (heart) evaluations are recommended beginning at around 10 years old, or when symptoms first begin. Evaluations should be repeated at least every two years.[7]Some studies have shown that certaincorticosteroids(such asprednisoneor prednisolone) can slow the decline of muscle strength in people with Duchenne muscular dystophy; however, information about their use in people with BMD is limited.[7]There are a number of additional therapies for BMD being studied.[7]Potential future treatments for BMD may includegene therapy,exonskipping, ataluren, creatine, deacetylase inhibitors, myostatin inactivation, andcelltherapy (myoblast treatment, and/or the use ofstem cells).[6][8]"
Becker's nevus,"Becker's nevus typically does not require treatment except for cosmetic reasons - primarily excessive hair growth (hypertrichosis) and hyperpigmentation.[3]Treatment has always been challenging, often using lasers with mixed results.[5]Q-switched ruby laserhas been used with variable success in the treatment of both the hypertrichosis and hyperpigmentation.[3]Hypertrichosis may also be improved by laser-assisted hair removal or byelectrolysis.[1][2]Hyperpigmentation may be lessened withQ-switched Nd:YAG laserorfractional resurfacing, although responses are variable and recurrence rates are high.[1]Acne that develops within the nevus can be treated with standard acne therapies.[2]People with Becker's nevi should be examined for associated softtissueand bony abnormalities.[1]More detailed information about the treatment of Becker's nevus is available here on Medscape Reference's website. You may need to register to view this, but registration is free."
Behr syndrome,"Treatment is symptomatic. For instance, people who develop musclecontracturesmay have to undergo surgery."
Lymphocytic infiltrate of Jessner,"Lymphocytic infiltrate of Jessner may require no treatment (since it can resolve spontaneously), but some patients benefit from cosmetic camouflage, photoprotection, surgery to remove small lesions, use ofsteroidsorally or topically, antimalarial medications such ashydroxychloroquine,cryotherapy,methotrexate,thalidomide, and/or oralauranofin.[1][2]"
Benign multicystic peritoneal mesothelioma,Surgery to remove the cystic lesions is the only effective treatment for BMPM. Aggressive surgical approaches are often recommended. Hormonal therapy has also been attempted in individual cases with variable degrees of success. Most affected individuals do not undergochemotherapyand/orradiotherapybecause thesetumorsare usually benign.[1][2]
Benign rolandic epilepsy (BRE),"Usually treatment is not necessary because theseizureepisodes are infrequent and typically end by puberty. When episodes are more frequent or occur in the daytime, antiseizure medications, such ascarbamazepine,phenobarbital,phenytoin,valproic acid,clonazepam,clobazam,gabapentin, andlevetiracetammay be utilized. Most individuals respond to a low dose of a single drug; however rarely, a combination of different medications is needed.[3]"
Essential tremor,"Treatment for essential tremor may not be necessary unless the tremors interfere with daily activities or cause embarrassment.[3]Although there is no definitive cure for essential tremor, medicines may help relieve symptoms.[2][3]How well medicines work depend on the individual patient.[3]Two medications used to treat tremors include:[2][3]Propranolol, a drug that blocks the action of stimulating substances called neurotransmitters, particularly those related to adrenalinePrimidone, an antiseizure drug that also control the function of some neurotransmittersThese drugs can have significant side effects.[3]Eliminating tremor ""triggers"" such as caffeine and other stimulants from the diet is often recommended.Physical therapymay help to reduce tremor and improve coordination and muscle control for some patients.[2]More details about the management of essential tremor can be accessed through theMayo ClinicandMedscape."
Monomelic amyotrophy,"Unfortunately, there is no cure for monomelic amyotrophy (MMA). However, there are treatment options that can help manage symptoms of the disease and slow the progression ofmuscle weakness. If the doctors think that MMA is caused by compression of thespinal cord, they may recommend use of a brace that can be worn around the neck to prevent downward movement (flexion) of the neck. Other treatment options include muscle strengthening exercises and therapies to improve hand coordination.[1]Surgery for the treatment of MMA is debated, as there are benefits and risks associated with surgery.[5]People who are diagnosed with MMA will likely be recommended to see a neuromuscular specialist who can watch for progression of the disease.[2]"
Geographic tongue,"Because geographic tongue is a benign (harmless) condition and does not typically cause symptoms, treatment is usually unnecessary. Even those patients who experience sensitivity to hot or spicy foods, generally do not require treatment. With severe symptoms, topicalcorticosteroids, zinc supplements, and topical anesthetic rinses seem to reduce the discomfort in some patients.[2][3]"
Familial Mediterranean fever,"The goal of treatment forfamilialMediterranean fever (FMF) is to control symptoms because there is no cure for the condition.[6]Treatment of an acute episode may include:[5]intravenous saline for hydrationnonsteroidal anti-inflammatory drugs (NSAIDs) for fever and inflammatory episodesNSAIDs, paracetamol or dipyrone for pain reliefroutine treatment ofend-stage renal disease(kidney failure), includingrenal transplantationDepending on disease severity or the presence of specificmutations, lifelong treatment withcolchicinemay be needed.  Colchicine prevents  inflammatory attacks and the deposition of amyloid. Those who are only mildly affected (with infrequent inflammatory attacks) may either be treated with colchicine or be monitored every six months for the presence ofproteinin the urine (proteinuria). Others may only be treated with colchicine if they develop severe inflammatory episodes and/or proteinuria as a result of amyloidosis. Those who are unresponsive to oral colchicine may respond to intravenous colchicine, or one of several other medications. Colchicine is not effective as treatment for an acute FMF attack.[5]"
Schwannoma,"Treatment for a schwannoma may depend on the location of thetumor, severity of symptoms, and whether the tumor isbenignormalignant(cancerous).[6]A benign schwannoma causing symptoms or affecting a person's appearance is typically treated with surgery to remove as much as the tumor as possible, while keeping the affected nerve intact. It is often possible to remove the entire tumor. Surgery usually quickly relieves the related symptoms, although if muscle weakness was present before surgery, the muscle may not return to full strength.[2][6][10]Treatment for a malignant schwannoma may involve both surgery andradiation therapy.[2][6][10]"
