Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Progressive multifocal leukoencephalopathy,"Currently, the best available therapy is reversal of the immune-deficient state. This can sometimes be accomplished by alteration ofchemotherapyor immunosuppression. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals.[3]"
Leukoplakia,"For most people, removing the source of irritation is important and often causes the lesion to disappear.[2]For example, if tobacco use is thought to be the cause, stopping tobacco use usually clears the condition.[1]Dental causes such as rough teeth or fillings should be treated as soon as possible.[2]When this is not effective or if the lesions show early signs ofcancer, treatment may include removing the patches.[1]The lesion is usually removed in the health care provider's office using local anesthesia. Leukoplakia on the vulva is treated in the same way as oral lesions.[2]Recurrences are common, so follow-up visits with a physician are recommended.[1]"
Lewis-Sumner syndrome,"The treatment most commonly used for Lewis-Sumnersyndromeisintravenous immunoglobulins (IVIg). This type of therapy uses a mixture ofantibodiesdelivered through an IV to help alleviate the symptoms of the disease, and is successful in 80% of cases. For individuals who do not respond to IVIg, treatment with subcutaneous immunoglobulins orplasma exchangehave proved effective.[5][6]Up to 40% of individuals who are not responsive to treatment eventually experience a reduction in symptoms.[7]"
Limb-girdle muscular dystrophy type 1B,"Unfortunately, there is no cure for limb-girdle muscular dystrophy type 1B (LGMD1B).  Treatment options that may be recommended for people with LGMD1B may include:[1]Weight controlto avoidobesityPhysical therapyand stretching exercises to preventcontracturesof the elbowsUse of mechanical aids such as canes, walkers, and wheelchairsMonitoring for evidence of heart problemsIn some cases, apacemakermay be necessary to treat heart problems associated with LGMD1B. It is recommended that people with LGMD1B be provided with social and emotional support to cope with the diagnosis. Other specialists that may be recommended include aneurologist,cardiologist,occupational therapist,nutritionist, andgenetic counselor.[1]"
Limb-girdle muscular dystrophy type 2B,"Unfortunately, there is no cure for limb-girdle muscular dystrophy type 2B (LGMD2B). Treatment options that may be recommended for people with LGMD2B may include:[1]Weight controlto avoidobesityPhysical therapyand stretching exercisesUse of mechanical aids such as canes, walkers, and wheelchairsIt is recommended that people with LGMD2B be provided with social and emotional support to cope with the diagnosis. Other specialists that may be recommended include aneurologist,occupational therapist,nutritionist, andgenetic counselor. No currently available medications can relieve or reverse the symptoms associated with LGMD2B. However, research is ongoing to try to determine if treatments such asgene therapymay be helpful in the future.[5]"
Lichen planus pigmentosus,"There is currently no consensus about treatment for lichen planus pigmentosus (LPP). Management includes avoiding things that make it worse in each case, such as  sun exposure or friction in body folds (via weight loss or wearing loose clothing).[5]No treatment options have shown consistent responses, and evidence of successful treatment has been limited to a few case series.[5]Treatment options may include:[1][4][6][7][8]Vitamin ATopicalcorticosteroidsTopical calcineurin inhibitorssuch astacrolimus(medications that are typically used to treat eczema)Dapsone(a medication used to treatleprosyand skin infections)Skin lightening agentsLaser therapyIn some cases, LPP goes away on its own within weeks. In other cases, pigmentation persists for years.[1][5]"
Lichen sclerosus,"Strongtopical steroidcreams or ointments reportedly are very helpful for lichen sclerosus, especially when it affects the genital areas. However, the response to this treatment varies. While itching may be relieved within days, it can take weeks or months for the skin's appearance to return to normal.Other treatments that may be used instead of steroid creams, or in combination with steroid creams, includecalcipotriol cream, topical and systemic retinoids (acitretin), and/or systemic steroids.If the vaginal opening has narrowed, dilators may be needed. In rare cases, surgery is necessary to allow for sexual intercourse. The condition sometimes causes the vaginal opening to narrow or close again after surgery is initially successful.[1]Additional information about treatment of lichen sclerosus can be viewed on Medscape's Web site."
Liddle syndrome,"Treatment for Liddlesyndromeconsists of following a low sodium diet and taking potassium-sparingdiuretics, which reduce blood pressure and correct hypokalemia and metabolic alkalosis. Conventional anti-hypertensive therapies are not effective for this condition.[5][2]"
Limbic encephalitis,"Treatment for limbic encephalitis varies depending on the underlying cause. In cases of confirmed paraneoplastic limbic encephalitis (PLE), removal or treatment of thetumoris often the first step in treatment. If the cause of limbic encephalitis is a viral infection, an antiviral drug may be prescribed.Immunotherapyis often utilized as a first line or second line treatment.[6][2]If immunotherapy fails, medications such asrituximaborcyclophosphamidemay be considered.[2]"
Linear and whorled nevoid hypermelanosis,"There is very limited information regarding the treatment of linear and whorled nevoid hypermelanosis (LWNH). Chemical peels and2% hydroquinone(a skin lightening agent) for treatment of hyperpigmentation have been described. Due to the possible association withchromosome abnormalitiesand other symptoms, people with LWNH should be evaluated for developmental delays, growth delays, skeletal abnormalities, andcongenital heart defects.[3]"
