Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Schimke immunoosseous dysplasia,"Treatment of Schimke immunoosseous dysplasia (SIOD) depends on the severity and individual symptoms in each person. Regular monitoring of the hips,  kidneys,immune systemand blood is recommended.[1]Examples of treatments that may be needed for SIOD include:[1]Kidneydialysisor transplantHip replacementTreatment of neutropenia with granulocytecolony-stimulating factoror granulocyte-macrophage colony-stimulating factorBone marrow transplantationfor immune deficiency (although several deaths after transplantation have been reported)Medications to suppress the immune system for those with autoimmune symptomsAcyclovirfor recurrent herpes infectionsImiquimodand cidofovir (an antiviral) for severe papillomavirusinfections of the skinAgents that improve blood flow or decrease blood clotting to treat transient ischemic attacks (""mini strokes"") or strokesStandard treatment of hypothyroidismStandard treatment ofscoliosis"
Leigh syndrome,"Treatment of Leighsyndromeis directed toward the specific symptoms present in each person.[6]Supportive care for Leigh syndrome includes treatment ofacidosis,seizures,dystonia, andcardiomyopathy, and attention to nutritional status.[4][3]Because anesthesia can potentially aggravate respiratory symptoms and bring on respiratory failure, careful consideration should be given to its use and close monitoring prior to, during, and after its use.[4][3]Progression and new symptoms should be monitored regularly (typically every 6-12 months). Evaluations with aneurologist,ophthalmologist,audiologist, andcardiologistare recommended.[4][3]Specific treatment is possible for the three nucleargene-encodedLeigh-like syndromes(milder conditions with similar features). These includebiotin-thiamine-responsive basal ganglia disease(BTBGD),biotinidase deficiency, andcoenzyme Q10 deficiencycaused bymutationof PDSS2.[4]"
Partington syndrome,"The treatment of Partingtonsyndromeis based on the signs and symptoms present in each person. For example,dystoniaof the hands and other parts of the body may be treated with a variety of therapies including medications and/orphysical therapy.[3]Speech therapymay be recommended for children withdysarthria. Medications may be prescribed to help prevent and/or control recurrentseizures. Children with mild to moderateintellectual disabilitymay benefit from special education services.For personalized information about the treatment and management of Partington syndrome, please speak to a healthcare provider."
Pars planitis,"The first approach to treating pars planitis iscorticosteroideye drops or injections near the eye to control inflammation. Non-steroidal anti-inflammatory drugs (NSAIDs, includingaspirin) or steroid medications (such asprednisone) can be taken by mouth. If these strategies are not successful, other medications may be given to reduce the body'simmune response(medications called immunosuppressants, such asmethotrexate).[2][3]If medications are not effective, surgery may be considered.Cryotherapyhas been performed in affected people to remove eyetissuethat has inflammation. Although this surgery has been shown to be effective in restoring clarity of vision, there are concerns that it may cause damage to other parts of the eye. Another surgery, known as vitrectomy, can be done to remove cloudy fluid (vitreous humor) from the eye.[6][2]"
Whipple disease,"The standard treatment for Whipple disease is a prolonged course ofantibioticsto destroy thebacteriathat cause the disease.[1][2][3]A number of different types, doses, and schedules of antibiotics may be used in an effort to find the best treatment.[2]A medicine calledceftriaxone2g, or penicillin G are commonly given intravenously as a first option. These antibiotics are typically followed by another antibiotic (such astrimethoprim-sulfamethoxazole) taken by mouth for up to 1 year. If symptoms come back during antibiotic use, the antibiotic treatment may be changed.[3]Depending on the seriousness of the disease, treatment may also include fluid and electrolyte replacement. Electrolytes are salts and other substances in body fluid that the heart and brain need to function properly.[2]Extra iron, folate, vitamin D, calcium, and magnesium may also be given to help compensate for the vitamins and minerals the body cannot absorb on its own.[2][3]People who are being treated for Whipple disease should be closely monitored by a health care provider because signs of the disease can return after therapy has been finished.[3]Full recovery of the small intestine may take up to 2 years, but the symptoms usually disappear in less time. Because relapse is common even after successful treatment, the health care team may continue to monitor the patient for many years.[2]In general, surgery is not needed, however, neurosurgical care is important for both obtaining diagnosticbiopsyspecimens in selected patients and placement ofventriculoperitoneal shuntingin patients withhydrocephalus.[6]"
Intrahepatic cholangiocarcinoma,"Surgery to completely remove the bile duct andtumoris the only option that can possibly lead to a cure for patients. The type of operation will depend on the size and location of thecancer. For cases of intrahepatic cancers that cannot be surgically removed, a liver transplantation may be an option. In some cases, a liver transplant might even cure the cancer. Finally, radiation andchemotherapyare also treatment options available for intrahepatic cholangiocarcioma either in addition to surgery or on their own.[2]"
Intravenous leiomyomatosis,"The mainstay of treatment for IVL is surgery to remove thetumorand its spread throughout the body. The use of anti-estrogentherapy, such astamoxifen, has also been suggested. Surgery requires the complete removal of the tumor, since incomplete removal may result in a recurrence and hence further surgery or even death. Many affected individuals undergo ahysterectomy; bilateraloophorectomyis also suggested because these tumors are estrogen dependent. Part of a tumor left inside thepelvicveins at the time of hysterectomy can extend towards the right side of the heart, leading to obstruction and other adverse events later in life. The median time between hysterectomy to the diagnosis of IVL with cardiac involvement is 4 years. Once there is cardiac involvement, a patient may require open-heart surgery to remove the IVL from the affected areas.[2][3]"
Systemic candidiasis,"Systemic candidiasis is usually treated with oral or intravenous (IV) antifungal medications, including echinocandin (caspofungin, micafungin, or anidulafungin)fluconazole, andamphotericin B. The specific type of medication and length of treatment will depend on many factors, including the age and health of the infected person, the location and severity of the infection, and the specific species ofCandidacausing the infection.[1][2][3][6]Antifungal medications may be given to certain high risk people in order to prevent the development of systemic candidiasis, however more studies are needed before it is clear if this practice is helpful.[2][6]For more information about the treatment of systemic candidiasis, please see theClinical Practice Guideline for the Management of Candidiasis: 2016 Update by the Infectious Diseases Society of America."
Isovaleric acidemia,"There is currently no cure for isovaleric acidemia (IVA). Upon diagnosis, immediate treatment is typically necessary in order to prevent metabolic crises and complications that may follow. It is often recommended that affected individuals have a low-leucine / low-proteindiet and use medical foods (such as special low-protein flours, pastas, and rice that are made especially for people with organic acid disorders) and leucine-free medical formula. A dietician with knowledge of IVA can help parents create a food plan that contains the right amount of protein, nutrients, and energy to keep the child healthy. Any diet changes should be under the guidance of a dietician. Medications that may be recommended includeglycineandL-carnitine, which help rid the body of unwanted isovaleric acid and other harmful substances. No medication or supplement should be used without checking with a metabolic doctor. Children with symptoms of a metabolic crisis need medical treatment right away and may be givenbicarbonate,glucose, and other medications by IV.[2]With prompt and careful treatment, children with IVA have a good chance to live healthy lives with normal growth and development. However, some children, even when treated, may have repeated metabolic crises which can lead to life-long learning problems or mental retardation.[2]"
Linear nevus sebaceous syndrome,"Treatment for linear nevus sebaceoussyndrome(LNSS) is directed towards the specific symptoms and severity in each affected person. Management may require coordinated efforts of a team of specialists that may consist ofpediatricians, pediatricneurologists,dermatologists,orthopedists,ophthalmologists, and other healthcare professionals.Those who are concerned about cosmetic appearance regarding the nevus might consider surgery to remove the nevus. Surgery used to be recommended due to the risk of becoming cancerous (malignant); however, the risk of malignancy is now much less than previously believed. Surgical removal of the nevus may not always be possible due to its specific location.Additional treatments depend on the specific abnormalities present and usually follow standard guidelines in the general population for these abnormalities. For example,epilepsymay be treated with anti-seizuremedications.[6]"
