Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Relapsing polychondritis,"The primary goals of treatment for people with relapsing polychondritis (RP) are to relieve present symptoms and to preserve the structure of the affected cartilage. The main treatment for RP iscorticosteroidtherapy withprednisoneto decrease the severity, frequency and duration of relapses. Higher doses are generally given during flares, while lower doses can typically be prescribed during periods ofremission. Other medications reported to control symptoms includedapsone,colchicine,azathioprine,methotrexate,cyclophosphamide,hydroxychloroquine,cyclosporineandinfliximab.[5][10]People who develop severe heart or respiratory complications may require surgery.[6]More detailed information about the management of RP is available on Medscape Reference's Web site and can be viewed by clickinghere."
Chronic fatigue syndrome,"Treatment options for chronic fatiguesyndrome(CFS) are limited.[3]Treatment is largely supportive and is focused on the specific symptoms present in each individual.[6]In most cases, symptoms of CFS lessen over time.[7]Several therapies have been researched, but there is, unfortunately, no strong evidence to suggest that any of the studied therapies are beneficial to those affected by CFS. Although cognitive behavioral therapy (CBT) and graded exercise therapy initially appeared to show some promise, further evaluation utilizing better diagnostic criteria for the condition and separating CBT from other counseling and behavioral interventions suggests that the evidence for CBT and GET as effective treatments is of very poor quality.[8]A number of medications, special diets and vitamin supplements have been evaluated in individuals with CFS, but none have been proven effective.[6][7]Although there have been a number ofvirusesthat were initially reported to cause CFS, additional studies have not supported this.[3]Trials of antiviral agents have been ineffective in relieving the symptoms of CFS.[6]Severalclinical trialsaiming to find effective treatment are currently ongoing.Other disorders that may be present, such asfibromyalgia,irritable bowel syndrome,metabolic syndrome, sleep disorders, and depression should be treated when caring for patients.[4][3]"
Chronic granulomatous disease,"Chronic granulomatous disease is usually managed withantibioticand antifungal medications to treat and prevent infection.Corticosteriodsmay be used to shrink granulomas (areas of inflamedtissue). Treatment may also include a medication called Actimmune (also known asinterferon gamma-1b). Actimmune is a man-made version of a substance normally produced by the body's immunecellsand has been shown to decrease the frequency of severe infections in people with chronic granulomatous disease.[1][2][4][5][6]Early diagnosis of infection is very important, so people with chronic granulomatous disease are generally followed closely by a medical professional. The frequency of follow-up will depend on the severity of the condition.[1][2][4]Abone marrow transplant(allogeneic hematopoietic stem cell transplantationor HSCT) may be used to treat and possibly cure chronic granulomatous disease, however HSCT has serious risks including the possibility of severe disability or death. Although the risks associated with HSCT are decreasing due to medical advances, HSCT is usually only considered for those severely affected by chronic granulomatous disease.[1][2][4][5]Medical researchers believegene therapyalso holds great promise as a future cure, but moreclinical studiesare needed to determine if gene therapy will be both safe and effective for those with chronic granulomatous disease.[4][5]As medical researchers better understand  chronic granulomatous disease, new treatments that help control theimmune system(immunomodulatory agents) may also become available.[6]"
Chronic hiccups,"Treatment for chronic hiccups often varies based on the underlying cause. In many cases, medications can be prescribed to treat chronic hiccups. These may include:[1][2]Tranquilizers such aschlorpromazineandhaloperidolMuscle relaxantsAnticonvulsant agents includingphenytoin,valproic acid, andcarbamazepineSedativesPain medicationsStimulantsRarely, medications may not be effective in the treatment of chronic hiccups. In these cases, surgery to temporarily or permanently block the phrenic nerve may be performed. The phrenic nerve controls the diaphragm.[2]"
Chronic inflammatory demyelinating polyneuropathy,"Standard treatment options for CIDP include:[2][5][6]intravenous immune globulin(IVIG) - adds large numbers ofantibodiesto the blood plasma to reduce the effect of the antibodies that are causing the problemglucocorticoids- help reduce inflammation and relieve symptomsplasma exchange - removes harmful antibodies from the bloodThe choice of treatment may depend on the preference of the patient, side effects, treatment cost, duration, and availability.[6]There are advantages and disadvantages of each treatment option:[6]IVIG and plasma exchange may lead to a more rapid improvement in CIDP than glucocorticoid therapy, but are less likely than glucocorticoids to produce aremissionIVIG is expensive, and its supply is sometimes limitedGlucocorticoids are inexpensive, but chronic use is limited by common and important side effectsPlasma exchange is expensive, invasive, and available only at specialized centersOther drugs may be used when standard treatments fail or cause significant side-effects.[5]Physical therapymay improve muscle strength, function and mobility.[1]"
Chronic lymphocytic leukemia,"The best treatment for each person with chronic lymphocytic leukemia (CLL) depends on many factors, including whether a person has symptoms, the stage of the condition, results of various tests, and whether the CLL hasrecurred(come back).[1]For example, people with early stage CLL who have no symptoms may simply be closely monitored by their doctor without any treatment (watchful waiting).[2]When a person develops symptoms, or there are signs thecancerhas progressed, treatment options may include:[2][3][1]ChemotherapyRadiation therapyTargeted therapy-  drugs or other substances used to find and kill cancercellswithout hurting normal cells. Examples includemonoclonal antibody therapy,tyrosine kinase inhibitor therapy, and BCL2 inhibitor therapy.Blood orplatelettransfusions if blood counts are lowBone marroworstem cell transplantation- in younger patients with advanced or aggressive CLLSurgery - for example, spleen removal (splenectomy) for enlarged spleen and low blood countsMore information about the treatment of CLL can be viewed on theNational Cancer Institute's page about CLL treatment."
Chronic recurrent multifocal osteomyelitis,"Due to the rare nature of the condition, there is limited data regarding the best treatment approach for people with chronic recurrent multifocal osteomyelitis (CRMO). When CRMO occurs along withpsoriasisorinflammatory bowel diseasethe goal is to treat both the CRMO as well as the skin and gastrointestinal symptoms. In this situation, treatment with aTNF inhibitormay be recommended. Initial treatment of isolated CRMO often involvesNSAIDs. If NSAIDs are unable to control pain, additional treatment options include antirheumatic drugs (e.g.,corticosteroids,methotrexate,sulfasalazine,colchicine, andazithromycin), TNF inhibitors, or bisphosphonates.[1]"
Postural orthostatic tachycardia syndrome,"Because research suggests that postural orthostatic tachycardiasyndrome(POTS) has a variety of causes, no single treatment is effective for all affected people. Management of POTS aims to improve low blood pressure and problems with the heart and blood vessels that may be causing the condition. In some people with POTS, simple lifestyle changes such as adding extra salt to the diet, drinking more fluids, exercising, and avoiding factors that make the condition worse, may lessen symptoms. Certain medications may also be helpful in treating POTS.[1][2][4]Some researches suggest volume repletion andfludrocortisone(0.05 to 0.2 mg per day) as the first line of therapy. Some patients may benefit frommidodrineor beta blocking agents. Other treatment options remain under investigation, and further confirmation of benefit is needed before they can be recommended.[4]"
Chronic progressive external ophthalmoplegia,"Ptosiscaused by chronic progressive external ophthalmoplegia (CPEO) can be corrected by surgery, or by using glasses that have a “ptosis crutch” to lift the upper eyelids.[4]Strabismus surgerycan be helpful in carefully selected patients if diplopia (double vision) occurs.[5]Some individuals with a deficiency of coenzyme Q10 have CPEO as an associated abnormality. Coenzyme Q10 is important for normal mitochondrial function. In individuals with this deficiency, supplemental coenzyme Q10 has been found to improve general neurologic function and exercise tolerance. However, coenzyme Q10 has not been shown to improve the ophthalmoplegia or ptosis in people who have isolated CPEO.[1]"
Kearns-Sayre syndrome,"Treatment for Kearns-Sayresyndromeis generally symptomatic and supportive.[2]Management options include placement of cardiac pacemakers in individuals with cardiac conduction blocks, eyelid slings for severeptosis, cochlear implants and hearing aids for neurosensoryhearing loss,hormonereplacement for endocrinopathies, dilation of the upper esophageal sphincter to alleviatecricopharyngeal achalasia, folinic acid supplementation in individuals with Kearns-Sayre syndrome with low cerebral spinal fluid folic acid, administration of coenzyme Q10 and L-carnitine, physical and occupational therapy, and treatment of depression. Antioxidants may ameliorate damage from reactive oxygen species; percutaneous endoscopic gastrostomy may improve nutritional intake and prevent aspiration pneumonia in individuals with severedysphagia. Surveillance includesEKGand echocardiogram every six to 12 months and yearlyaudiometryand endocrinologic evaluation.[1]"
