Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Mixed connective tissue disease,"There is currently no cure for mixedconnective tissue disease(MCTD). However, treatments can help manage symptoms of the condition. For example, medications such as over-the-counter or prescriptionnonsteroidal anti-inflammatory drugsmay help with inflammation and pain of the muscles or joints.Glucocorticoidsmay be recommended in certain situations, such as during disease flares or when complications arise (e.g.,aseptic meningitis,myositis,pleurisy,pericarditis, andmyocarditis). Some people with MCTD require long term use of immunosuppressant medications.[1][7]Additional medications may be prescribed based on the signs and symptoms present in each person. For example, if a person with MCTD has developed symptoms similar to those of lupus, medications typically prescribed for people with lupus may be recommended.[2]For additional information about the treatment of MCTD, visitthe Mayo Foundation for Medical Education and ResearchWeb site."
Melnick-Needles syndrome,"There is no cure for Melnick-Needlessyndrome. Treatment typically involves a team of specialists and focuses on addressing the symptoms of the condition, which may include:[2]Hearing aidsCosmetic surgery as desired to correct characteristic facial featuresOrthopedic surgery to correctscoliosisand other bone abnormalitiesThe use of continuous positive airway pressure (CPAP)  and mandibular distraction (surgery to increase the size of the jaw) for individuals with severemicrognathiaandtracheobronchomalacia"
Melorheostosis,"Data on treatment for melorheostosis is limited, however non-surgical
and surgical approaches to manage pain has been described in single
cases with some success:[1]Bisphosphonate therapy was successful in
managing pain in a man with melorheostosis and elevated serum alkaline
phosphatase. Nifedipine was used to treat a woman with melorheostosis
and aching, burning pain deep in her upper left thigh. While the
treatment was helpful in managing pain, the treatment was withdrawn due
to unwanted side-effects. Pain was addressed in two additional cases
with cortical fenestration, or surgically cutting an opening in large
bone lesions.[1]The limited movement in affected joints
(contracture) can be difficult to treat and may be permanent. Tailored
surgery to address the bone deformity, hardened surrounding softtissues,
and joint contractures have been preformed with variable results.
Symptoms can recur following surgery. Surgery  may also be an option for
treatment of limb length discrepancy.[1]"
Multiple endocrine neoplasia type 2B,"People with multiple endocrine neoplasia type 2B (MEN2B) are recommended to have theirthyroidremoved (thyroidectomy) as soon as they are diagnosed. This is because the risk formedullary thyroid carcinomais nearly 100% in people who have MEN2B, and a thyroidectomy can prevent a person from ever developing medullary thyroid carcinoma.[2]After the thyroid is removed, a person with MEN2B may still have tests to make sure a medullary thyroid carcinoma did not develop and spread before the thyroid was removed.[2]If the medullary thyroid carcinoma cannot be completely removed, there are therapies available such astyrosine kinase inhibitors. These therapies can slow the growth of medullary thyroid carcinomas.[5]People who have thyroidectomies need to take medications that contain thehormonesthat are normally produced by the thyroid.[2]People with MEN2B may also be recommended to have frequent tests such as analysis of the blood or urine for signs that there may be atumorin theadrenal glands(pheochromocytoma).Imagingtests such asMRIorCT scancan also be used to monitor for the development of a pheochromocytoma.[2]If a pheochromocytoma is identified, it may be removed with surgery.[2]"
Ménière's disease,"At the present time there is no cure for Ménière's disease, but lifestyle modifications and some treatments can help affected people cope with the symptoms.[3]The symptoms of the disease are often controlled successfully by reducing the body’s retention of fluids through dietary changes (such as a low-salt or salt-free diet and no caffeine or alcohol).[1]Medications such as antihistamines, anticholinergics, and diuretics may lower endolymphatic pressure by reducing the amount of endolymphatic fluid.[2]Eliminating tobacco use and reducing stress levels may also help lessen the severity of symptoms.[1]Symptoms such as dizziness, vertigo, and associated nausea and vomiting may respond to certain medications.[2]The U.S. Food and Drug Administration (FDA) recently approved a device for Ménière’s disease that fits into the outer ear and delivers intermittent air pressure pulses to the middle ear (pressure pulse treatment). The air pressure pulses appear to act on endolymph fluid to prevent dizziness.[1]Different surgical procedures are an option for people with persistent, debilitating vertigo.Labyrinthectomy(removal of the inner ear senseorgan) can effectively control vertigo, but sacrifices hearing and is reserved for patients with nonfunctional hearing in the affected ear.Vestibular neurectomy, selectively severing a nerve from the affected inner ear organ, usually controls the vertigo while preserving hearing but carries surgical risks. Recently, the administration of the ototoxicantibioticgentamycindirectly into the middle ear space has gained popularity worldwide for the control of vertigo associated with Ménière's disease.[1]"
Meningioma,"The treatment varies depending on the location of the meningioma and the symptoms caused by thetumor.[3][4]Careful observation is sometimes the best course of action for people with a meningioma. When treatment is necessary, surgery and radiation are the most common forms of treatment.[4][5]Radiation may be used if the meningioma cannot be operated on or if the meningioma is only partially removed by surgery. Radiation may also be used in cases of malignant, atypical, or recurrent tumors.[4]Other treatments that have been tried or are being explored includehydroxyurea, epidermal growth factor receptor inhibitors,platelet-derived growth factor receptor inhibitors, vascular endothelial growth factor inhibitors,immunotherapyto stimulate theimmune system, and somatostatin analogs which prevent the release of growthhormones.[4]"
Myelomeningocele,"A child with meningomyelocele usually hassurgery to close the myelomenigoceleshortly after birth. This prevents infections and helps save the spinal cord from more damage.[1]Children who also havehydrocephalusmay need aventricular peritoneal shuntplaced. This will help drain the extra fluid.[2]In the United States,antibiotics, sac closure, and ventriculoperitoneal shunt placement are the standard of care and are implemented soon after birth in 93-95% of patients.[4]"
Renpenning syndrome 1,There is currently no cure for Renpenningsyndrome. Management may include early educational intervention and treatment of any associated symptoms such as heart defects or eye abnormalities.[2]
Singleton-Merten syndrome,"There is still no cure. The treatment is done to treat the symptoms that may be present. The Singleton-Mertensyndromeis an interferonopathy. Drug options that have improved symptoms during the acute phase in people with an interferonopathy include:[1][2][4]Intravenous methylprednisoneOralprednisoneIntravenous immunoglobulinOther medications that have being used include anti-rheumatic drugs such as metrotrexate, mycophenolate mofetil,  azathioprine, as well as infliximab, etanercept, anakinra, tocilizumab, and rituximab but have not been effective in most cases.Other possible treatment include:[2][4]Treatment of tooth decay and use of dental implants as well as regular visits to the dentistTreatment of heart problems which may include surgery and medicationsGlaucomatreatment with eye drops, pills, laser surgery, and/or traditional surgeryOstoeporosis treatment such as medications known as  biphosphonatesSkin problems treatmentTreatment may require a team of medical specialists, depending on the different symptoms. Special social support,physical therapy, and other medical, social, and/or vocational services may benefit the people with the disease.Genetic counselingwould be of benefit for affected individuals and their families."
Weill-Marchesani syndrome,"Although there is no cure for Weill-Marchesanisyndrome, there are treatments that can help minimize or correct many of the symptoms that do develop.[3]People with this syndrome often need a team of medical specialists, includingpediatricians, eye specialists (ophthalmologistsandoptometrists),orthopedists, andcardiologists.[3][2]Regular eye exams are important for early diagnosis of eye problems. A timely diagnosis and treatment of developing eye problems is very important to increase the chance that vision loss can be minimized. Corrective glasses, visual aids, or eye surgery may be needed to improve vision. Removal of the microspherophakia is recommended to control intraocular pressure and improve vision. Increased pressure within the eye (glaucoma) may be treated with eye drops, laser therapy, surgical removal of the iris or lens. Contraction or dilation of the pupils can cause glaucoma in some people with Weill-Marchesani syndrome. Medications that contract the pupil must be avoided, and medications that dilate the pupils must be given with care.[3][2]Joint stiffness and bone abnormalities can cause complications if anesthesia is needed. A person with Weill-Marchesani syndrome needs to tell their doctor, surgeon, and anesthesiologist of the diagnosis before receiving anesthesia, as the syndrome can impact airway management.[3]Recommended evaluations when a child is first diagnosed with Weill-Marchesani syndrome include:[1]Complete eye exam by anophthalmologistEvaluation by a medical genetics specialistCardiac echocardiogram"
