Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Stevens-Johnson syndrome,"A person suspected to have Stevens-Johnsonsyndrome(SJS) should be admitted to the hospital immediately because it can be life-threatening. When the diagnosis is confirmed, the extent of the disease should be determined quickly so that the most appropriate place for treatment can be decided. People with SJS may be best treated in an intensive care unit, burn unit, or specialized dermatology unit. Several studies show that the chance of recovery is better for those moved promptly to a burn care unit or intensive care unit. Treatment should ideally be managed by a team of doctors experienced in treating SJS.[6]Treatment of SJS aims to address symptoms and prevent complications (supportive care). People thought to have SJS caused by a reaction to medications should discontinue the medication as soon as possible.[5][6]Generally, treatment of skin symptoms is similar to that of major burns, and includes wound care, pain control, fluids and electrolytes, nutritional support, temperature management, and monitoring or treatment of secondary infections.[5][6]Eye involvement needs immediate treatment to reduce the risk of permanent eye damage and vision loss. Eye inflammation can worsen quickly within a few days, so daily eye evaluations (by anophthalmologist) and aggressive treatment are needed. Treatment depends on the extent of eye involvement and may involve any of several strategies either alone or in combination, including:[5][6]Saline rinses to clean the eyes and eyelids.Lubrication multiple times per day with preservative-free eye drops or ointments (including for those with no apparent eye involvement).Eye medicines with topicalcorticosteroidsand broad-spectrumantibiotics.Amniotic membrane transplantation(AMT) to try to prevent vision loss and complications involving the mucous membranes. Some people need multiple procedures. The amniotic membrane is the innermost layer of the placenta, and can been used as a graft or dressing to aid in repairing the surface of the eyes and promote healing.Beyond supportive care, various therapies to treat SJS have been tried by doctors, including systemic corticosteroids,intravenous immune globulin(IVIG),cyclosporine,plasmapheresis, andanti-tumor necrosis factor (TNF) monoclonal antibodies. However, with the exception of thalidomide (which was found to be harmful), none have been adequately studied in randomized trials. There is, however, increasing evidence from multiplecase seriesthat cyclosporine may slow the progression of SJS.[6]"
Desmoplastic infantile ganglioglioma,"Surgical resection (removal of the area of the brain with thetumor) has been the standard treatment reported in the medical literature. The size of the resection is probably based on the size of the tumor, although the extent of the resection is not documented for all cases reported in the medical literature.Adjuvant therapyis generally not performed when a gross total resection can be performed. When total resection is not possible, some of suggestedchemotherapy, as the effects of radiation on extremely young children may be harmful.[1]"
Neuromyelitis optica,"There is no cure for neuromyelitis optica, but there are therapies aimed at treating episodes in progress, reducing symptoms, and preventing relapses.[1]Sudden episodes and relapses are usually treated with intravenouscorticosteroids. If this does not relieve symptoms,plasma exchangemay be effective.[4][5]Low doses ofcarbamazepinemay be used to control painful muscle spasms during an episode. Muscle relaxants may be used forspasticitythat develops in those with permanent muscle dysfunction.[4]For prevention of recurrent episodes, the main treatment is long-term use of medication that suppresses theimmune system(systemic immunosuppressive therapy). There are no controlled trials evaluating this treatment, so recommendations are generally based on data fromobservational studiesand by the experience of experts who have treated the disease.[5]People with severe, permanent symptoms may benefit from collaborating withoccupational therapists,physical therapists, and social services professionals to address theirrehabilitationneeds.[1]"
Kartagener syndrome,"There is currently no cure for Kartagenersyndrome. Treatment varies based on the signs and symptoms present in each person.Airway clearance therapy, similar to that used incystic fibrosis, can loosen thick, sticky mucus so it can be cleared away.Antibioticsmay be prescribed to treat respiratory, sinus, and middle ear infections and may be given on a long-term basis in people withchronicor frequent infections. Surgery to insertear tubesmay be recommended in children withchronicear infections that are resistant to antibiotics. In people with severe lung disease,lung transplantationmay be an option.[1][2][3]For more information on the treatment and management of Kartagener syndrome, pleaseclick here."
Dextrocardia with situs inversus,"Treatment typically depends on the heart or physical problems the person may have in addition to dextrocardia with situs inversus. For example, infants born withcongenital heart defectsor otherorganmalformations may require surgery.[2][3]The management of people affected by Kartagenersyndrometypically includes measures to enhance clearance of mucus, prevent respiratory infections, and treat bacterial infections.[6]GeneReviewsoffers more specific information on the treatment of Kartagener syndrome and other types ofprimary ciliary dyskinesia. Please click on the link to access this resource."
Primary hyperoxaluria type 2,"The current management strategy includes high fluid intake, treatment with inhibitors of calcium oxalate crystallization, and temporary intensivedialysisfor end-stagerenal disease(ESRD) followed bykidney transplantation.[2][3]Varying success has been reported following transplantation, with recurrence being a real possibility since hyperoxaluria and elevated L-glycerate levels persist.[2][3][5]Careful management in the postoperative period, with attention to brisk urine output and use of calcium oxalate urinary inhibitors may help prevent complications.[2]To date, liver-kidney transplantation has not been used in primary hyperoxaluria type 2.[2][3]This strategy may be considered, however, as there is moreenzymein the liver than in othertissues.[2]More studies are needed before liver transplantation can be recommended.[3]Other treatment modalities needing further investigation include livercelltransplantation andrecombinant gene therapyto replace the missing enzyme.[6]"
Doyne honeycomb retinal dystrophy,"There is currently no cure for Doyne honeycomb retinal dystrophy (DHRD) and treatment options are limited. Management of hereditary retinal dystrophies generally focuses onvision rehabilitation, which involves the use of low vision aids, orientation, and mobility training. The goal of visual rehabilitation is to reach maximum function, a sense of well being, a personally satisfying level of independence, and optimum quality of life.[4][5]Choroidal neovascularization (CNV), the growth of new blood vessels in the choroid, can develop in people with DHRD and has a poor visualprognosis. The authors of a 2011 study reported that 2 people with DHRD and CNV were treated with a course of intravitreal bevacizumab (injected into the eye). This treatment stopped fluid leakage and led to increased visual acuity. They proposed that recovery of visual acuity after treatment of CNV in these cases shows that the loss of retinal function may be reversible. However, this finding needs to be confirmed in more studies with a larger number of participants.[6]There was also a case report of a person with malattia leventinese (a condition very similar to DHRD and sometimes considered the same) who was treated successfully withphotodynamic therapy using verteporfin. The treatment reportedly prevented severe visual loss in the patient. The authors of this case report proposed that photodynamic therapy be considered as a possible treatment in patients with malattia leventinese or DHRD who develop CNV.[7]You may consider participating in aclinical trialfor treatment of retinal dystrophy. The U.S. National Institutes of Health, through the National Library of Medicine, developedClinicalTrials.govto provide patients, family members, and members of the public with current information on clinical research studies.There are many clinical trials currently enrolling individuals with hereditary retinal dystrophy.View a list of these studies here. After you click on a study, review its eligibility criteria to determine its appropriateness. We suggest reviewing the list of studies with your physician. Use the study’s contact information to learn more. You can check this site often for regular updates. Use ""retinal dystrophy"" or ""Doyne honeycomb retinal dystrophy"" as your search term."
Wolfram syndrome,"Treatment of Wolframsyndromeis supportive and based on the signs and symptoms present in each person. For example, almost all affected people require insulin to treatdiabetes mellitus. People withhearing lossmay benefit from hearing aids orcochlear implantation.[2][4][5]For more detailed information regarding the treatment and management of Wolfram syndrome,click here."
Diabetic mastopathy,"Typically, no treatment is necessary for diabetic mastopathy. Individuals with this condition should be advised about the condition and how to self examine the breasts to detect any changes in size and number of breast lumps. Patients should be routinely followed up withMRIorultrasoundand corebiopsyif the lesions become clinically or radiologically suspicious. Lesions can be surgically removed for cosmetic reasons or if malignancy cannot be excluded.[9][7]"
Dieulafoy lesion,"Endoscopic techniques may be used to treat Dieulafoy lesions. These techniques may include the use of electrical current, heat, or argon gas to cause the blood to clot; injection of medications such as epinephrine; or the placement of bands or clips to close off the blood vessels.Angiographycan also be used to treat the abnormal blood vessels (embolization). In some cases, surgery, either alone or in combination with endoscopic techniques, may be indicated.[1][2][4][5][6]"
