Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Muenke Syndrome,"Children with Muenkesyndromeare best managed by a pediatric craniofacial clinic where a team of health care professionals, including a craniofacial surgeon and neurosurgeon, medicalgeneticist,ophthalmologist,otolaryngologist,pediatrician, radiologist, psychologist, dentist,audiologist,speech therapist, and social worker may work to address their individuals needs. Depending on severity, the firstcraniosynostosisrepair may be performed between ages three and six months. Early surgery may reduce the risk for complications. Follow-up surgeries and/or other medical procedures may be needed.[3]"
Multicentric reticulohistiocytosis,"Dermatologistsandrheumatologistsare often the types of specialists that oversee the treatment of patients with multicentric reticulohistiocytosis. Although no specific therapy has consistently been shown to improve multicentric reticulohistiocytosis, many different drugs have been used.[3]For instance, therapy withnon-steroidal anti-inflammatory agents(e.g., aspirin or ibuprofen) may help thearthritis.Systemic corticosteroidsand/or cytotoxic agents, particularlycyclophosphamide,chlorambucil, ormethotrexate, may affect the inflammatory response, prevent further joint destruction, and cause skin lesions to regress. Antimalarials (e.g.,hydroxychloroquineandmefloquine)have also been used.Alendronateand other bisphosphonates have been reported to be effective in at least one patient andetanerceptandinfliximabhave been effective in some.[5]"
Multifocal choroiditis,"Multifocal choroiditis (MFC) is generally treated withsteroidmedication that can be taken orally or injected into the affected eye. These treatments may be successful in managing symptoms, though there is no permanent cure for the disease and symptoms may return. If a person no longer responds to steroid treatment, drugs that suppress theimmune system, such ascyclosporine, may be recommended.[1]People with more severe vision loss may also benefit from laser therapy.[2]Frequent monitoring by anophthalmologistis recommended to determine how well treatment is working."
Steatocystoma multiplex,"Treatment options for steatocystoma multiplex are limited and have had varying degrees of success. The most effective treatment method is thought to be removal of cysts by surgery.  However, cosmetic concerns, time, cost, and pain need to be considered because affected individuals often have multiple cysts.[11]In many cases, small incisions (cuts into the skin) allow the cyst and its contents to be removed through the opening.[1]Other treatment options include medications such asoral isotretinointo temporarily shrink the cysts and reduce inflammation ororal antibiotics(tetracycline and derivatives) to reduce redness and swelling. Other procedures may include draining cysts through a procedure calledaspiration,liquid nitrogen cryotherapy,dermabrasion, andcarbon dioxide laser therapy.[1][6][11][12]Laser treatments may be  useful for patients with  numerous cysts in whom removal and drainage is not a realistic choice and for whom other treatments have failed to improve the condition.[11]"
Oculopharyngeal muscular dystrophy,"Treatment of oculopharyngeal muscular dystrophy (OPMD) mainly focuses on the specific signs and symptoms present in each individual. Severe drooping of the eyelid (ptosis) may be treated with plastic surgery on the eyelid (blepharoplasty). The goal of this surgery is to raise the eyelid so that the affected individual can see. Individuals with severe difficulty swallowing (dysphagia) may have a surgical procedure known ascricopharyngeal myotomy. In this procedure, the cricopharyngeal muscle of the throat is cut so that when swallowing occurs, the muscle remains relaxed allowing the passage of food or liquid. Orthopedic devices such as canes, leg braces, or walkers can assist individuals who have difficulty walking. Other treatment is symptomatic and supportive.[1][4]"
MYH7-related scapuloperoneal myopathy,There is no standard course of treatment for scapuloperoneal myopathy. Some patients may benefit fromphysical therapyor other therapeutic exercises.[1]
Tubular aggregate myopathy,"Currently, we are unaware of any targeted therapies for tubular aggregate myopathy. There is very limited information in the medical literature regarding the treatment or management of this condition. Supportive therapies may be recommended depending on the severity of symptoms and associated complications. High dose steroids were reported to be effective in one case of myopathy with tubular aggregates in 1991, but the reasons why were unclear.[11]"
X-linked myopathy with excessive autophagy,"There are currently no specific treatments for individuals withX-linkedmyopathy with excessive autophagy (XMEA). Management is typically symptomatic and supportive, focusing on the specific signs and symptoms present in each individual.For managing myopathies in general,physical therapyand exercise are important for maintaining strength. It is also important to practice good general health measures including a well-balanced nutritional diet, maintenance of normal weight, and proper management of any other chronic illnesses.[3]"
Myotonia congenita,"Treatment for myotonia congenita depends on the symptoms and severity in each person. People with mild symptoms may just need to modify their activities. Those with more severe muscle stiffness might consider or need sodium channel blockers or other medications to relieve symptoms. Medication options may include:Mexiletine- this is a sodium channel blocker and is the best documented treatment option. It may significantly reduce muscle stiffness.Phenytoinorcarbamazepine- these are anticonvulsants that have been reported to help symptoms in some people.Quinine(an antimalarial),dantrolene(a muscle relaxant), oracetazolamide(a diuretic) may help symptoms in some cases.Exercise is known to temporarily relieve myotonia. Some people with myotonia congenita have reported more long-term relief with gymnastics, but this has not been studied in controlled trials. Anesthesia should be used with caution in people with myotonia congenita.[4]"
Myxopapillary ependymoma,"Standard treatment of myxopapillary ependymoma is surgery with the aim of removing as much of thetumoras possible. This tumor type may be cured if all of the tumor is removed during surgery, which is referred to as totalresection, and there is usually a favorable outlook in these cases. However, surgery is typically less curative in tumors that are large, multifocal or extend outside the spinal cord. These tumors have the potential to regrow after the initial diagnosis and surgery (recur), particularly in individuals diagnosed as children.[1]Following surgery,radiation therapymay be considered to destroy anycancercellsthat could remain in the body.  The use ofchemotherapyas another treatment of myxopapillary ependymoma remains controversial; chemotherapy has been widely used in pediatric individuals due to more aggressive disease.[4]The usefulness of additional therapies following surgery is unclear for the subset of individuals with recurrence or in individuals in whom total resection cannot be achieved.[1]"
