Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Goodpasture syndrome,"The treatment of choice isplasmapheresisin conjunction withprednisoneand cyclophosphamide. The three main goals for the treatment are:[1][2][3]Rapidly remove circulatingantibody, primarily by plasmapheresis.Stop further production of antibodies using immunosuppression with medications, namely,corticosteroids(e.g., prednisone) and cyclophosphamide. In children, plasmapheresis is done together with corticosteroids and cyclophosphamide. The duration of the immunosuppressive treatment varies but is typically 6 months for corticosteroids and 3 months for cyclophosphamide.Remove offending agents that may have initiated the antibody production.After hospital discharge, patients require long-term regular visits for monitoring kidney function and for immunosuppressive therapy. If kidney function does not return,dialysisis continued indefinitely and the patient should be referred for kidney transplantation.If the person smokes, it is recommended he or she stop. Also, if the patient is exposed to hydrocarbon in his or her occupation, he or she should consider changing jobs, as exposure to hydrocarbon has been shown to increase a person's chances of disease recurrence.[2]"
Antisynthetase syndrome,"Corticosteroidsare typically the first-line of treatment and may be required for several months or years. These medications are often given orally; however, in severe cases,intravenous methylprednisolonemay be prescribe initially. Immunosuppressive medications may also be recommended, especially in people with severe muscle weakness or symptomaticinterstitial lung disease.[1][3]According to recent studies,Rituximabis the medication option when patients with lung disease do not respond well to other treatments.[8]Physical therapyis often necessary to improve weakness, reduce further muscle wasting from disuse, and preventmuscle contractures.[1][3]"
Pyridoxine-dependent epilepsy,"Anticonvulsant drugs, which are usually given to controlseizures, are ineffective in people with pyridoxine-dependentepilepsy. Instead, people with this type of seizure are medically treated with large daily doses of pyridoxine (a type of vitamin B6 found in food).[1][2]Recent studies have focused on using a lysine-restricted diet in addition to pyridoxine. Preliminary results suggest that this treatment has the potential to help control seizures and improve developmental outcomes in children with pyridoxine-dependent epilepsy.[3]"
Hereditary antithrombin deficiency,"Once a patient with hereditary antithrombin deficiency develops a clot,anticoagulationtherapy (usuallyWarfarin) is often indicated. The duration of therapy after a first clot, especially in children, is a matter of some controversy, but therapy is generally continued for 3-6 months. Individuals who experience a second clot are at a significant risk for future clotting and are candidates for long-term Warfarin therapy. Asymptomatic individuals are often not treated with anticoagulation therapy. Should surgery be necessary, individuals with hereditary antithrombin deficiency may receive antithrombin III concentrate or fresh frozen plasma to boost antithrombin levels.[3]"
Bell's palsy,"Some cases of Bell's palsy are mild and do not require treatment.[1][3]In these cases, symptoms may subside on their own within 2 weeks.[3]For those cases that do require treatment, steroids such asprednisonehave been used with success to reduce inflammation and swelling.  Other  medications such asacyclovir--used to fight viral infections -- may shorten the course of the disease.Analgesicssuch as aspirin, acetaminophen, or ibuprofen may relieve pain. Because of possible drug interactions, patients should always talk to their doctors before taking any over-the-counter medicines. Keeping the eye moist and protected from debris and injury is important. Other therapies such asphysical therapy, facial massage or acupuncture may also be used.[2][3]In general, decompression surgery for Bell's palsy is controversial and is seldom recommended.[3]"
Danon disease,"Treatment is aimed at addressing the symptoms present in each individual. This may require a team of specialists in addition to the primary care physician, including acardiologist,neurologist,ophthalmologist,geneticist,genetic counselor, rehabilitation physician, educational specialist, andphysical therapist. Because Danon disease can be associated with rapidly progressivecardiomyopathyand sudden death, careful monitoring of heart disease is required. Medications for heart disease may be a first line of treatment. Aggressive interventions may be recommended for people showing signs of progressive heart failure (e.g., early intervention with heart transplantation or implantable cardioverter-defibrillator). Assessment of muscle strength should be performed regularly.Physical therapymay help maintain muscle strength and flexibility. Males withintellectual disabilitiesshould receive appropriate educational interventions.[2]"
Townes-Brocks syndrome,"Treatment is directed towards the specific symptoms, including immediate surgical intervention for imperforate anus, surgery for severe malformations of the thumbs, and early treatment ofhearing loss. When heart defects are present, treatment is with theroutine management ofcongenitalheart defects, such as surgery and medication; Kidney impairment is treated withhemodialysisand, in some cases, with kidney transplantation forend-stage renal disease(ESRD). Regular monitoring of kidney function in individuals, with and without kidney anomalies, is recommended. An annual hearing testing is recommended.[2]"
Spinocerebellar ataxia with axonal neuropathy type 2,"Although there is no cure for spinocerebellarataxiawith axonal neuropathy type 2 (SCAN2), treatments are available to help manage the signs and symptoms of the condition. For example, affected people may benefit fromphysical therapyand speech therapy. A wheelchair or other devices may be necessary to help maintain mobility. Children with SCAN2 may also need additional help in school since they may have difficulties with reading, writing and other activities. In some cases, a low-cholesterol diet may be recommended.[2][6]"
Takayasu arteritis,"The treatment of Takayasu arteritis is focused on controlling both theinflammatoryprocess andhypertension. Treatment options might include:corticosteroids,  medications that block the activity ofinterkeukin-6(iL-6 receptor inhibitors), medications that impair the activity ofB-lymphocyets(B-celldepletion), medications that are toxic tocells(cytotoxic agents), medications that block the activity oftumor necrosis factor(anti-tumornecrosis factor agents), andantihypertensiveagents. Lifestyle modification including exercise and diet might additionally be recommended.For additional information on the treatment of Takayasu arteritis, please reference theMedscape article. You may need to register to view the article, but registration is free."
Factor V Leiden thrombophilia,"Treatment of factor V Leiden thrombophilia varies depending on the patient's medical history and current circumstances.People with factor V Leiden thrombophilia who've had adeep venous thrombosis (DVT)orpulmonary embolism (PE)are usually treated with blood thinners, or anticoagulants (such as heparin and warfarin). Anticoagulants are given for varying amounts of time depending on the person's situation. It is not usually recommended that people with factor V Leiden be treated lifelong with anticoagulants if they have had only one DVT or PE, unless they have additional blood clotrisk factors.People who have factor V Leiden but have never had a blood clot are not routinely treated with an anticoagulant. In stead, they are counseled about reducing or eliminating other factors that add to their risk for clots. They may require temporary treatment with an anticoagulant during periods of particularly high risk, such as major surgery.[6]Women with factor V Leiden thrombophilia most often have normal pregnancies. Treatment with an anticoagulant during pregnancy and/or following delivery is often not needed, but may be recommended depending on the woman's personal and family health history, method of delivery, and other risk factors.[6][4]"
Autoimmune progesterone dermatitis,"The treatment or control of symptoms of autoimmuneprogesteronedermatitis (APD) varies. Mild cases might be successfully managed with use ofantihistaminesand/orcorticosteroids.Most methods of treatment focus on temporarily suppressingovulation. This might be achieved through varying medications including:conjugated estrogen,ethinyl estradiol,tamoxifen, anddanazol.Gonadotropin releasing hormoneagonists have additionally had reported success in the literature; however as these medications can prompt symptoms ofmenopause, they might not be recommended for pre-menopausal patients. Progesterone desensitization, in which increasing doses of progesterone are administered via vaginal suppository,  has been reported as a successful treatment in one case in the literature.For severe cases in which the above treatment options are not successful, surgical removal of ovaries oroophorectomyis curative.[3][5]"
Primary progressive aphasia,"Unfortunately, there is no cure for primary progressive aphasia (PPA). Treatment is focused on slowing the progression of the disease and helping the person to adapt to the loss of language skills in everyday life. For example,speech therapymay be a helpful tool for people with PPA to maintain language skills for as long as possible.[1]Some people benefit from learning sign language or other ways to communicate.[3][7]Selective serotonin reuptake inhibitors(SSRIs) can be used to treat behavioral changes that may be associated with PPA. These medications may also help treat symptoms ofanxietyordepression, which can impact people who have PPA.[2]Clinical trialsare ongoing to try to determine more effective treatments for PPA.[8]"
Sutton disease 2,"Treatment may not be necessary for minor canker sores which tend to clear on their own over the course of a week or two. Large, persistent or unusually painful sores may require medical care.[3]The goals of treatment are to decrease pain, speed healing and avoid recurrence. While no one therapy meets all of these goals, many do offer some benefit.[4]Treatment may include mouth rinses, topical ointments or systemiccorticosteroids.[3]More detailed information about treatment options can be accessed through theTreatmentandMedicationsections of Medscape Reference and through theAmerican Academy of Oral Medicine."
Barraquer-Simons syndrome,"Surgery may be used to improve a person's appearance, but is not needed for medical reasons. Facial reconstruction techniques may be used with varying success. These techniques may include transplantation of fattissue, silicone implants, movement of facial muscles, or other techniques.No specific diet is recommended for people with Barraquer-Simonssyndromeand weight gain should be avoided. Regular exercise is recommended to improve a person's metabolic status.If a person with Barraquer-Simons syndrome has kidney problems, then they may also need to be managed. Treatment may involving a special diet or medications.Dialysisor a kidney transplant may be needed if the condition progresses to kidney failure.[2]"
Aplasia cutis congenita,"Treatment of aplasia cutis congenita varies depending on the condition of the infant. Conservative treatment is preferred.[5]Small areas usually heal on their own over time. Gentle cleansing and application of bland ointments orsilver sulfadiazinecan help prevent infection. If infection occurs,antibioticscan be used.[3][6]Recently, a variety of specialized dressing materials have been developed and used.[3]Larger lesions may require surgery.[3][6]Ultimately, the decision to use medical, surgical, or both forms of therapy  depends primarily on the size, depth, and location of the skin defect.[3]"
Epidermolysis bullosa,"Managing EB requires a multidisciplinary team of health care providers including adermatologist, EB nurse who specializes in wound care,occupational therapist,nutritionist, and social worker. Various other specialists may be consulted as needed. Management should be individualized for each person depending on their age, severity, symptoms, complications, and priorities.While there currently is no specific therapy for most forms of epidermolysis bullosa (EB), extensiveclinical research regarding potential treatmentsis ongoing. At this time, management is mostly supportive and involves wound care, pain control, controlling infections, nutritional support, and prevention and treatment of complications. Monitoring for complications with laboratory testing andimagingstudies is also important, although the frequency of these tests will vary depending on the type of EB and severity in each person. Newborns with EB should be taken care of in a neonatal or pediatric unit that has the expertise, staffing, and resources necessary to manage severe skin erosions and potential complications.More detailed information about the treatment and management of EB can be viewed here on Medscape Reference's website. You may need to register to view the information, but registration is free."
Limb-body wall complex,"Unfortunately, there is no cure for limb-body wall complex and it is generally considered to be incompatible with life (fatal).[1][2][3]"
