Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Eagle syndrome,"The mainstay treatment for Eaglesyndromeis surgery to shorten the styloid process (styloidectomy).[3]Traditionally, this surgery has been done using either an intraoral (through the mouth) or extraoral (through the neck) approach.[3][1]The intraoral approach usually requires tonsillectomy, and access to the styloid process is limited.[3]There is also risk of injury to major vessels.[1]However, this method reportedly is safe, more simple, and an external scar is avoided.[1]The extraoral approach may provide better exposure of the process and its surrounding structures. However, this approach results in a scar, requires going through connectivetissueand may carry an increased risk of trauma to surrounding structures.[3]In recent years, more minimally-invasive techniques have been used for head and neck surgery. Some patients with Eagle syndrome have undergone anendoscope-assisted approach.[3]An endoscope is a long, thin tube with a camera attached at the end. According to the authors of a study published in 2017, this approach reportedly has the benefits of providing direct surgical access, satisfactory exposure, and minimal invasion.[3]Medical management of Eagle syndrome may include the use of pain and anti-inflammatory medications, antidepressants, and/or steroids for pain.[1][3]The overall success rate for treatment (medical or surgical) is about 80%.[1]People with questions about personal treatment options and recommendations for Eagle syndrome should speak with their doctor."
Eales disease,"Depending on the disease stage, treatment may involvecorticosteroids(systemic or periocular) and/or immunosuppressants (azathioprine,cyclosporine).[3][4]Anti-tubercular therapy has been recommended by some authors, however this treatment remains controversial.[3]Bevacizumab(Avastin), amonoclonal antibody, is sometimes used via intravitreal injection. This medication appears to induce regression of neovascularization.[4]Laser photocoagulation has become the treatment of choice in patients in the proliferative stage of Eales disease. Vitreoretinal surgery may be required if recurrent vitreous hemorrhage occurs.[3][4]There may be other treatment options (for example, antioxidant vitamins A, C, and E) for Eales disease as well.[4]We recommend that you discuss these and other treatment options with your partner's health-care providers.You can find relevant articles on the treatment of Eales disease through PubMed, a searchable database of biomedical journal articles. Although not all of the articles are available for free online, most articles listed in PubMed have a summary available. To obtain the full article, contact a medical/university library or your local library for interlibrary loan. You can also order articles online through the publisher’s Web site. Using 'Eales disease AND treatment' as your search term should help you locate articles. Use the advanced search feature to narrow your search results.Click hereto view a search.http://www.ncbi.nlm.nih.gov/PubMedThe National Library of Medicine (NLM) Web site has a page for locating libraries in your area that can provide direct access to these journals (print or online). The Web page also describes how you can get these articles through interlibrary loan and Loansome Doc (an NLM document-ordering service). You can access this page at the following linkhttp://nnlm.gov/members/. You can also contact the NLM toll-free at 888-346-3656 to locate libraries in your area."
Lambert Eaton myasthenic syndrome,"There is no cure for LEMS. Treatment may vary depending on the individual's age, general health, and whether there is an associatedcanceror autoimmune disorder. If cancer or an underlying autoimmune disorder is present, treatment should focus on these conditions first. They may result in symptom relief.[2][6]Medications and therapies that may be used to treat Lambert-Eaton myasthenicsyndromeinclude: 3,4-diaminopyridine (enhances acetylcholine release), anticholinesterase agents (e.g.,Pyridostigmine),  plasma exchange (where blood plasma is removed and replaced with fluid,protein, or donated plasma),intravenous immunoglobulins(IVIG), and medications that suppress theimmune system(e.g.,prednisone,azathioprine).[2]"
"Epidermolysis bullosa simplex, generalized","There is no cure for epidermolysis bullosa simplex and there is no known treatment proven to completely control all of the symptoms. However, many complications can be lessened or avoided through early intervention. Individuals with milder forms of the disease have minimal symptoms and may require little or no treatment. In all cases, treatment is directed towards the symptoms and is largely supportive. This care should focus on prevention of infection, protection of the skin against trauma, attention to nutritional deficiencies and dietary complications, minimization of deformities andcontractures, and the need for psychological support for the patient and other family members.[2]Detailed information regarding prevention of blisters, care of blisters and infections, and management of nutritional problems can be accessed through theNational Institute of Arthritis and Musculoskeletal and Skin  Diseases(NIAMS) and article from theeMedicinejournal."
Malignant eccrine spiradenoma,"Surgery to remove as much of thetumoras possible is usually the first step of treatment for malignant eccrine spiradenoma.  Both a traditional surgical technique known aswide local excisionand the newerMohs micrographic surgeryare thought to be effective for treating thiscancer.  Additional treatment may includeradiation therapyto destroy any cancercellsthat might remain after surgery.  Thoughchemotherapyhas been used in cases of malignant eccrine spiradenoma, it is thought to be of limited help in treating this disease.[1]"
Progressive osseous heteroplasia,"At this time, there are no effective treatments or prevention for progressive osseous heteroplasia (POH). Surgery to remove diffuse lesions usually leads to recurrences or complications, but areas of well-circumscribed lesions can often be removed, with successful long-term results. Unfortunately, amputations are sometimes needed when there is severe growth retardation and functional ankylosis (locking of joints).[2]One case report on the use of the bisphosphonatepamidronatein POH suggested stabilization of the condition, but it is unclear how applicable this may be to preventing new skin lesions. Treatment with a bisphosphonate is unlikely to have an effect on preexisting bone formation.[2]Important conservative approaches includephysical therapyto preserve movement, and meticulous skin care to prevent the breakdown of skin.[2]Special shoes, braces, and other devices to assist in walking and weight-bearing have been used to help people with POH involving the lower limbs.[3]"
Ehlers-Danlos syndromes,"There is no specific cure for Ehlers-Danlossyndrome(EDS). The treatment and management is focused on preventing serious complications and relieving  signs and symptoms. Because the features of EDS vary by subtype, management strategies differ slightly.[7]For more specific information on the treatment of each subtype, please click on the links below:Hypermobility typeClassic typeVascular typeKyphoscoliosis typeArthrochalasia typeDermatosparaxis typePlease speak to your healthcare provider if you have any questions about your personal medical management plan."
Kyphoscoliotic Ehlers-Danlos syndrome,"The treatment of kyphoscoliotic Ehlers-Danlossyndromeis focused on preventing serious complications and relieving signs and symptoms. For example,physical therapymay be recommended in children withhypotoniaand delayed motor development. This treatment can also help improve joint stability. Assistive devices such as braces may be necessary depending on the severity of joint instability. Depending on the severity of the kyphoscoliosis (kyphosisandscoliosis), surgery may be necessary. Because kyphoscoliotic EDS is associated with fragile skin with abnormal wound healing, affected people, especially children, may need to wear protective bandages or pads over exposed areas, such as the knees, shins, and forehead. Regular follow-up may be recommended to check for development or progression of abnormalities of the eyes, heart, and other parts of the body.[1][4]GeneReview'sWeb site offers more specific information regarding the treatment and management of kyphoscoliotic EDS. Please click on the link to access this resource.Please speak to your healthcare provider if you have any questions about your personal medical management plan."
Vascular Ehlers-Danlos syndrome,"The treatment and management of vascular Ehlers-Danlossyndrome(EDS) aims to relieve signs and symptoms and prevent serious complications. For example, people with vascular EDS havetissuefragility that puts them at high risk for rupturing of arteries, muscles and internalorgans. It is therefore important to seek immediate medical attention for any sudden, unexplained pain because emergency surgery may be needed. Pregnant women with vascular EDS should be followed by amaternal-fetal medicine specialistat a center for high-risk pregnancies.[4][2]Periodicscreeningmay be recommended to diagnoseaneurysmsor other problems that may not cause obvious symptoms. The risk of injury should be minimized by avoiding contact sports, heavy lifting, and weight training. Elective surgery is also discouraged.[2]GeneReview'sWeb site offers more specific information about the treatment and management of vascular EDS. Please click on the link to access this resource.Please speak to your healthcare provider if you have any questions about your personal medical management plan."
Hypermobile Ehlers-Danlos syndrome,"The treatment of  hypermobile Ehlers-Danlossyndromedepends on the signs and symptoms present in each person. For example,physical therapyis often recommended to strengthen muscles and improve joint stability. Assistive devices such as braces, wheelchairs, or scooters may be necessary depending on the severity of joint instability. Pain medications may be prescribed to manage severe musculoskeletal (muscle and bone) pain. Affected people may be monitored for the development of osteopenia (lowbone density) and aortic root dilatation (enlargement of the blood vessel that distributes blood from the heart to the rest of the body).[1][3][8]GeneReviews (see below) offers more detailed information regarding the treatment and management of hypermobile EDS.Please speak to your healthcare provider if you have any questions about your personal medical management plan."
Eosinophilic fasciitis,"About 10-20% of people with eosinophilic
fasciitis recover spontaneously without treatment.  For those who do
not, glucocorticoids (0.5–1 mg/kg/d), such asprednisone, are the
mainstay therapy. Even with treatment, improvement in symptoms can take
weeks or months. Glucocorticoids are successful in treating
eosionophilic fasciitis in over 70% of cases.[2]If glucocorticoids are
unsuccessful, methotrexate at low doses
(15–25 mg once weekly) is probably the most favored second-line
treatment, especially in people with reddish to purpleish (morphea-like) skin lesions.[3]Other treatment options include
NSAIDs, D-penicillamine, chloroquine, cimetidine, azathioprine,
cyclosporin A, infliximab, UVA-1, and bath PUVA.[2]Physical therapymay help improve joint mobility and decreasecontractures. Surgical release has been used in some severe cases to manage significant joint contractures.[4]"
Eisenmenger syndrome,"Older children with symptoms of Eisenmengersyndromemay have blood removed from the body (phlebotomy) to reduce the number ofred blood cells, and then receive fluids to replace the lost blood (volume replacement).Children may receive oxygen, although it is unclear whether it helps to prevent the disease from getting worse. Children with very severe symptoms may need a heart-lung transplant.[2]Adult patients with Eisenmenger syndrome should be seen by acardiologistspecializing in the care of adults withcongenitalheart disease."
